B_thermophilus_symbiont	R.fausta	R.magnifica	R.pacifica	R.phaseoliformis	R.pliocardia	R.rectimargo	R.southwardae	SUP05	V.diagonalis	V.extenta	V.gigas1	V.gigas2	V.marissinica	V.okutanii	V.soyoae1	V.soyoae2
MS2017_1225	HUE58_RS02410	Rmag_0529	Rpac_peg_1366	Rpha_peg_201	Rple_peg_1192	Rrec_peg_1207	Rsou_peg_114	SP60_08030	Vdia_peg_490	Vext_peg_477	Vgig1_peg_443	Vgig2_peg_328	Vmar_0489	COSY_0485	Vsoy1_peg_515	Vsoy2_peg_714
MS2017_1812	HUE58_RS03790	Rmag_0199	Rpac_peg_1064	Rpha_peg_4	Rple_peg_23	Rrec_peg_969	Rsou_peg_1198	SP60_05415	Vdia_peg_787	Vext_peg_776	Vgig1_peg_734	Vgig2_peg_621	Vmar_0194	COSY_0198	Vsoy1_peg_220	Vsoy2_peg_425
MS2017_1855	HUE58_RS06700	Rmag_0161	Rpac_peg_4	Rpha_peg_1994	Rple_peg_1341	Rrec_peg_922	Rsou_peg_1965	SP60_05220	Vdia_peg_820	Vext_peg_809	Vgig1_peg_169	Vgig2_peg_59	Vmar_0161	COSY_0165	Vsoy1_peg_186	Vsoy2_peg_391
MS2017_0242	HUE58_RS04785	Rmag_0954	Rpac_peg_726	Rpha_peg_1356	Rple_peg_954	Rrec_peg_518	Rsou_peg_1491	SP60_03065	Vdia_peg_101	Vext_peg_97	Vgig1_peg_879	Vgig2_peg_766	Vmar_0864	COSY_0854	Vsoy1_peg_894	Vsoy2_peg_110
MS2017_1856	HUE58_RS06695	Rmag_0160	Rpac_peg_5	Rpha_peg_1993	Rple_peg_1342	Rrec_peg_921	Rsou_peg_1964	SP60_05215	Vdia_peg_821	Vext_peg_810	Vgig1_peg_168	Vgig2_peg_58	Vmar_0160	COSY_0164	Vsoy1_peg_185	Vsoy2_peg_390
MS2017_1147	HUE58_RS01970	Rmag_0462	Rpac_peg_949	Rpha_peg_325	Rple_peg_1279	Rrec_peg_1110	Rsou_peg_1838	SP60_00410	Vdia_peg_548	Vext_peg_536	Vgig1_peg_504	Vgig2_peg_391	Vmar_0431	COSY_0427	Vsoy1_peg_455	Vsoy2_peg_654
MS2017_1228	HUE58_RS02420	Rmag_0531	Rpac_peg_1364	Rpha_peg_198	Rple_peg_1190	Rrec_peg_1209	Rsou_peg_868	SP60_08020	Vdia_peg_488	Vext_peg_475	Vgig1_peg_441	Vgig2_peg_326	Vmar_0491	COSY_0487	Vsoy1_peg_517	Vsoy2_peg_716
MS2017_0994	HUE58_RS02690	Rmag_0573	Rpac_peg_1302	Rpha_peg_135	Rple_peg_626	Rrec_peg_1268	Rsou_peg_805	SP60_07670	Vdia_peg_447	Vext_peg_434	Vgig1_peg_401	Vgig2_peg_286	Vmar_0534	COSY_0528	Vsoy1_peg_558	Vsoy2_peg_757
MS2017_0244	HUE58_RS04780	Rmag_0953	Rpac_peg_725	Rpha_peg_1357	Rple_peg_953	Rrec_peg_517	Rsou_peg_1490	SP60_03060	Vdia_peg_102	Vext_peg_98	Vgig1_peg_880	Vgig2_peg_767	Vmar_0863	COSY_0853	Vsoy1_peg_893	Vsoy2_peg_109
MS2017_1229	HUE58_RS02425	Rmag_0532	Rpac_peg_1363	Rpha_peg_197	Rple_peg_1189	Rrec_peg_1210	Rsou_peg_869	SP60_08015	Vdia_peg_487	Vext_peg_474	Vgig1_peg_440	Vgig2_peg_325	Vmar_0492	COSY_0488	Vsoy1_peg_518	Vsoy2_peg_717
MS2017_1858	HUE58_RS06690	Rmag_0158	Rpac_peg_6	Rpha_peg_1991	Rple_peg_1344	Rrec_peg_920	Rsou_peg_1962	SP60_05205	Vdia_peg_822	Vext_peg_811	Vgig1_peg_167	Vgig2_peg_57	Vmar_0159	COSY_0163	Vsoy1_peg_184	Vsoy2_peg_389
MS2017_0116	HUE58_RS05545	Rmag_1066	Rpac_peg_875	Rpha_peg_968	Rple_peg_1131	Rrec_peg_684	Rsou_peg_522	SP60_03885	Vdia_peg_997	Vext_peg_984	Vgig1_peg_1001	Vgig2_peg_971	Vmar_0970	COSY_0965	Vsoy1_peg_13	Vsoy2_peg_217
MS2017_1737	HUE58_RS04305	Rmag_0858	Rpac_peg_623	Rpha_peg_1486	Rple_peg_823	Rrec_peg_414	Rsou_peg_29	SP60_01810	Vdia_peg_173	Vext_peg_168	Vgig1_peg_802	Vgig2_peg_691	Vmar_0793	COSY_0783	Vsoy1_peg_821	Vsoy2_peg_38
MS2017_0117	HUE58_RS05550	Rmag_1067	Rpac_peg_876	Rpha_peg_970	Rple_peg_1132	Rrec_peg_685	Rsou_peg_521	SP60_03890	Vdia_peg_996	Vext_peg_983	Vgig1_peg_1002	Vgig2_peg_970	Vmar_0971	COSY_0966	Vsoy1_peg_14	Vsoy2_peg_218
MS2017_1461	HUE58_RS01415	Rmag_0388	Rpac_peg_557	Rpha_peg_522	Rple_peg_740	Rrec_peg_40	Rsou_peg_1972	SP60_01030	Vdia_peg_615	Vext_peg_603	Vgig1_peg_570	Vgig2_peg_455	Vmar_0362	COSY_0362	Vsoy1_peg_387	Vsoy2_peg_590
MS2017_2090	HUE58_RS06065	Rmag_0063	Rpac_peg_134	Rpha_peg_763	Rple_peg_1487	Rrec_peg_790	Rsou_peg_1637	SP60_04460	Vdia_peg_914	Vext_peg_903	Vgig1_peg_77	Vgig2_peg_893	Vmar_0068	COSY_0071	Vsoy1_peg_94	Vsoy2_peg_298
MS2017_1738	HUE58_RS04315	Rmag_0859	Rpac_peg_624	Rpha_peg_1485	Rple_peg_824	Rrec_peg_416	Rsou_peg_30	SP60_01815	Vdia_peg_172	Vext_peg_167	Vgig1_peg_803	Vgig2_peg_692	Vmar_0794	COSY_0784	Vsoy1_peg_822	Vsoy2_peg_39
MS2017_2130	HUE58_RS05455	Rmag_1050	Rpac_peg_857	Rpha_peg_913	Rple_peg_1105	Rrec_peg_663	Rsou_peg_1598	SP60_03785	Vdia_peg_6	Vext_peg_3	Vgig1_peg_979	Vgig2_peg_853	Vmar_0954	COSY_0950	Vsoy1_peg_989	Vsoy2_peg_203
MS2017_1739	HUE58_RS04320	Rmag_0860	Rpac_peg_625	Rpha_peg_1484	Rple_peg_825	Rrec_peg_417	Rsou_peg_31	SP60_01820	Vdia_peg_171	Vext_peg_166	Vgig1_peg_804	Vgig2_peg_693	Vmar_0795	COSY_0785	Vsoy1_peg_823	Vsoy2_peg_40
MS2017_0119	HUE58_RS05560	Rmag_1069	Rpac_peg_878	Rpha_peg_972	Rple_peg_1134	Rrec_peg_687	Rsou_peg_519	SP60_03900	Vdia_peg_994	Vext_peg_981	Vgig1_peg_1004	Vgig2_peg_968	Vmar_0973	COSY_0968	Vsoy1_peg_16	Vsoy2_peg_220
MS2017_1463	HUE58_RS01405	Rmag_0386	Rpac_peg_555	Rpha_peg_524	Rple_peg_738	Rrec_peg_42	Rsou_peg_1970	SP60_01045	Vdia_peg_617	Vext_peg_605	Vgig1_peg_572	Vgig2_peg_457	Vmar_0360	COSY_0360	Vsoy1_peg_385	Vsoy2_peg_588
MS2017_2131	HUE58_RS05450	Rmag_1049	Rpac_peg_856	Rpha_peg_912	Rple_peg_1104	Rrec_peg_662	Rsou_peg_1597	SP60_03780	Vdia_peg_7	Vext_peg_4	Vgig1_peg_978	Vgig2_peg_852	Vmar_0953	COSY_0949	Vsoy1_peg_988	Vsoy2_peg_202
MS2017_1740	HUE58_RS04325	Rmag_0861	Rpac_peg_626	Rpha_peg_1483	Rple_peg_826	Rrec_peg_418	Rsou_peg_32	SP60_01825	Vdia_peg_170	Vext_peg_165	Vgig1_peg_805	Vgig2_peg_694	Vmar_0796	COSY_0786	Vsoy1_peg_824	Vsoy2_peg_41
MS2017_1423	HUE58_RS01575	Rmag_0410	Rpac_peg_1426	Rpha_peg_479	Rple_peg_1637	Rrec_peg_1016	Rsou_peg_643	SP60_00820	Vdia_peg_600	Vext_peg_588	Vgig1_peg_556	Vgig2_peg_441	Vmar_0377	COSY_0379	Vsoy1_peg_405	Vsoy2_peg_605
MS2017_1464	HUE58_RS01400	Rmag_0385	Rpac_peg_554	Rpha_peg_525	Rple_peg_737	Rrec_peg_43	Rsou_peg_1969	SP60_01050	Vdia_peg_618	Vext_peg_606	Vgig1_peg_573	Vgig2_peg_458	Vmar_0359	COSY_0359	Vsoy1_peg_384	Vsoy2_peg_587
MS2017_2132	HUE58_RS05445	Rmag_1048	Rpac_peg_855	Rpha_peg_911	Rple_peg_1103	Rrec_peg_661	Rsou_peg_1596	SP60_03775	Vdia_peg_8	Vext_peg_5	Vgig1_peg_977	Vgig2_peg_851	Vmar_0952	COSY_0948	Vsoy1_peg_987	Vsoy2_peg_201
MS2017_1741	HUE58_RS04330	Rmag_0862	Rpac_peg_627	Rpha_peg_1482	Rple_peg_827	Rrec_peg_419	Rsou_peg_33	SP60_01830	Vdia_peg_169	Vext_peg_164	Vgig1_peg_806	Vgig2_peg_695	Vmar_0797	COSY_0787	Vsoy1_peg_825	Vsoy2_peg_42
MS2017_1424	HUE58_RS01570	Rmag_0409	Rpac_peg_1427	Rpha_peg_480	Rple_peg_1636	Rrec_peg_1015	Rsou_peg_644	SP60_00825	Vdia_peg_601	Vext_peg_589	Vgig1_peg_557	Vgig2_peg_442	Vmar_0376	COSY_0378	Vsoy1_peg_404	Vsoy2_peg_604
MS2017_1465	HUE58_RS01395	Rmag_0384	Rpac_peg_553	Rpha_peg_526	Rple_peg_736	Rrec_peg_44	Rsou_peg_2006	SP60_01055	Vdia_peg_619	Vext_peg_607	Vgig1_peg_574	Vgig2_peg_459	Vmar_0358	COSY_0358	Vsoy1_peg_383	Vsoy2_peg_586
MS2017_2133	HUE58_RS05440	Rmag_1047	Rpac_peg_854	Rpha_peg_910	Rple_peg_1102	Rrec_peg_660	Rsou_peg_1595	SP60_03770	Vdia_peg_9	Vext_peg_6	Vgig1_peg_976	Vgig2_peg_850	Vmar_0951	COSY_0947	Vsoy1_peg_986	Vsoy2_peg_200
MS2017_1742	HUE58_RS04335	Rmag_0863	Rpac_peg_628	Rpha_peg_1481	Rple_peg_828	Rrec_peg_420	Rsou_peg_34	SP60_01835	Vdia_peg_168	Vext_peg_163	Vgig1_peg_807	Vgig2_peg_696	Vmar_0798	COSY_0788	Vsoy1_peg_826	Vsoy2_peg_43
MS2017_2134	HUE58_RS05435	Rmag_1046	Rpac_peg_853	Rpha_peg_909	Rple_peg_1101	Rrec_peg_659	Rsou_peg_1594	SP60_03765	Vdia_peg_10	Vext_peg_7	Vgig1_peg_975	Vgig2_peg_849	Vmar_0950	COSY_0946	Vsoy1_peg_985	Vsoy2_peg_199
MS2017_1743	HUE58_RS04340	Rmag_0864	Rpac_peg_629	Rpha_peg_1480	Rple_peg_829	Rrec_peg_421	Rsou_peg_35	SP60_01840	Vdia_peg_167	Vext_peg_162	Vgig1_peg_808	Vgig2_peg_697	Vmar_0799	COSY_0789	Vsoy1_peg_827	Vsoy2_peg_44
MS2017_1467	HUE58_RS01385	Rmag_0382	Rpac_peg_551	Rpha_peg_528	Rple_peg_734	Rrec_peg_46	Rsou_peg_2008	SP60_01065	Vdia_peg_621	Vext_peg_609	Vgig1_peg_576	Vgig2_peg_461	Vmar_0356	COSY_0356	Vsoy1_peg_381	Vsoy2_peg_584
MS2017_1744	HUE58_RS04345	Rmag_0865	Rpac_peg_630	Rpha_peg_1479	Rple_peg_830	Rrec_peg_422	Rsou_peg_36	SP60_01845	Vdia_peg_166	Vext_peg_161	Vgig1_peg_809	Vgig2_peg_698	Vmar_0800	COSY_0790	Vsoy1_peg_828	Vsoy2_peg_45
MS2017_2136	HUE58_RS05425	Rmag_1044	Rpac_peg_851	Rpha_peg_907	Rple_peg_1098	Rrec_peg_657	Rsou_peg_1592	SP60_03755	Vdia_peg_12	Vext_peg_9	Vgig1_peg_972	Vgig2_peg_847	Vmar_0948	COSY_0944	Vsoy1_peg_983	Vsoy2_peg_197
MS2017_1745	HUE58_RS04350	Rmag_0866	Rpac_peg_631	Rpha_peg_1478	Rple_peg_831	Rrec_peg_423	Rsou_peg_37	SP60_01850	Vdia_peg_165	Vext_peg_160	Vgig1_peg_810	Vgig2_peg_699	Vmar_0801	COSY_0791	Vsoy1_peg_829	Vsoy2_peg_46
MS2017_1469	HUE58_RS01370	Rmag_0379	Rpac_peg_548	Rpha_peg_531	Rple_peg_731	Rrec_peg_49	Rsou_peg_2011	SP60_01080	Vdia_peg_623	Vext_peg_612	Vgig1_peg_578	Vgig2_peg_463	Vmar_0354	COSY_0354	Vsoy1_peg_379	Vsoy2_peg_582
MS2017_1746	HUE58_RS04355	Rmag_0867	Rpac_peg_632	Rpha_peg_1477	Rple_peg_832	Rrec_peg_424	Rsou_peg_38	SP60_01855	Vdia_peg_164	Vext_peg_159	Vgig1_peg_811	Vgig2_peg_700	Vmar_0802	COSY_0792	Vsoy1_peg_830	Vsoy2_peg_47
MS2017_0193	HUE58_RS04995	Rmag_0980	Rpac_peg_761	Rpha_peg_1306	Rple_peg_997	Rrec_peg_565	Rsou_peg_1751	SP60_03220	Vdia_peg_77	Vext_peg_73	Vgig1_peg_899	Vgig2_peg_786	Vmar_0888	COSY_0878	Vsoy1_peg_918	Vsoy2_peg_134
MS2017_0314	HUE58_RS04620	Rmag_0924	Rpac_peg_689	Rpha_peg_1410	Rple_peg_901	Rrec_peg_486	Rsou_peg_239	SP60_02665	Vdia_peg_125	Vext_peg_120	Vgig1_peg_852	Vgig2_peg_739	Vmar_0840	COSY_0830	Vsoy1_peg_870	Vsoy2_peg_86
MS2017_0012	HUE58_RS05665	Rmag_0007	Rpac_peg_224	Rpha_peg_1033	Rple_peg_1585	Rrec_peg_708	Rsou_peg_1794	SP60_04050	Vdia_peg_977	Vext_peg_965	Vgig1_peg_16	Vgig2_peg_952	Vmar_0007	COSY_0007	Vsoy1_peg_32	Vsoy2_peg_236
MS2017_0315	HUE58_RS04615	Rmag_0923	Rpac_peg_688	Rpha_peg_1411	Rple_peg_900	Rrec_peg_485	Rsou_peg_240	SP60_02660	Vdia_peg_126	Vext_peg_121	Vgig1_peg_851	Vgig2_peg_738	Vmar_0839	COSY_0829	Vsoy1_peg_869	Vsoy2_peg_85
MS2017_0316	HUE58_RS04610	Rmag_0922	Rpac_peg_687	Rpha_peg_1412	Rple_peg_899	Rrec_peg_484	Rsou_peg_241	SP60_02655	Vdia_peg_127	Vext_peg_122	Vgig1_peg_850	Vgig2_peg_737	Vmar_0838	COSY_0828	Vsoy1_peg_868	Vsoy2_peg_84
MS2017_0011	HUE58_RS05660	Rmag_0006	Rpac_peg_225	Rpha_peg_1032	Rple_peg_1586	Rrec_peg_707	Rsou_peg_1795	SP60_04045	Vdia_peg_978	Vext_peg_966	Vgig1_peg_15	Vgig2_peg_953	Vmar_0006	COSY_0006	Vsoy1_peg_31	Vsoy2_peg_235
MS2017_0317	HUE58_RS04605	Rmag_0921	Rpac_peg_686	Rpha_peg_1413	Rple_peg_898	Rrec_peg_483	Rsou_peg_242	SP60_02650	Vdia_peg_128	Vext_peg_123	Vgig1_peg_849	Vgig2_peg_736	Vmar_0837	COSY_0827	Vsoy1_peg_867	Vsoy2_peg_83
MS2017_1585	HUE58_RS01150	Rmag_0329	Rpac_peg_493	Rpha_peg_1676	Rple_peg_657	Rrec_peg_97	Rsou_peg_1319	SP60_01350	Vdia_peg_667	Vext_peg_656	Vgig1_peg_619	Vgig2_peg_507	Vmar_0312	COSY_0312	Vsoy1_peg_336	Vsoy2_peg_540
MS2017_0079	HUE58_RS05825	Rmag_0037	Rpac_peg_189	Rpha_peg_1069	Rple_peg_1548	Rrec_peg_742	Rsou_peg_485	SP60_04205	Vdia_peg_947	Vext_peg_935	Vgig1_peg_48	Vgig2_peg_920	Vmar_0039	COSY_0037	Vsoy1_peg_64	Vsoy2_peg_267
MS2017_0319	HUE58_RS04595	Rmag_0919	Rpac_peg_684	Rpha_peg_1415	Rple_peg_896	Rrec_peg_482	Rsou_peg_244	SP60_02640	Vdia_peg_130	Vext_peg_125	Vgig1_peg_847	Vgig2_peg_734	Vmar_0835	COSY_0825	Vsoy1_peg_865	Vsoy2_peg_81
MS2017_0946	HUE58_RS02940	Rmag_0607	Rpac_peg_1253	Rpha_peg_82	Rple_peg_541	Rrec_peg_1324	Rsou_peg_738	SP60_07395	Vdia_peg_413	Vext_peg_401	Vgig1_peg_367	Vgig2_peg_252	Vmar_0567	COSY_0560	Vsoy1_peg_595	Vsoy2_peg_794
MS2017_0320	HUE58_RS04590	Rmag_0918	Rpac_peg_683	Rpha_peg_1416	Rple_peg_895	Rrec_peg_481	Rsou_peg_245	SP60_02635	Vdia_peg_131	Vext_peg_126	Vgig1_peg_846	Vgig2_peg_733	Vmar_0834	COSY_0824	Vsoy1_peg_864	Vsoy2_peg_80
MS2017_0627	HUE58_RS03550	Rmag_0721	Rpac_peg_1112	Rpha_peg_607	Rple_peg_270	Rrec_peg_1476	Rsou_peg_660	SP60_06600	Vdia_peg_298	Vext_peg_290	Vgig1_peg_253	Vgig2_peg_141	Vmar_0680	COSY_0669	Vsoy1_peg_707	Vsoy2_peg_908
MS2017_0947	HUE58_RS02935	Rmag_0606	Rpac_peg_1254	Rpha_peg_83	Rple_peg_542	Rrec_peg_1323	Rsou_peg_739	SP60_07400	Vdia_peg_414	Vext_peg_402	Vgig1_peg_368	Vgig2_peg_253	Vmar_0566	COSY_0559	Vsoy1_peg_594	Vsoy2_peg_793
MS2017_0321	HUE58_RS04585	Rmag_0917	Rpac_peg_682	Rpha_peg_1417	Rple_peg_894	Rrec_peg_480	Rsou_peg_246	SP60_02630	Vdia_peg_132	Vext_peg_127	Vgig1_peg_845	Vgig2_peg_732	Vmar_0833	COSY_0823	Vsoy1_peg_863	Vsoy2_peg_79
MS2017_1587	HUE58_RS01125	Rmag_0327	Rpac_peg_491	Rpha_peg_1678	Rple_peg_655	Rrec_peg_99	Rsou_peg_1321	SP60_01375	Vdia_peg_670	Vext_peg_659	Vgig1_peg_622	Vgig2_peg_510	Vmar_0309	COSY_0307	Vsoy1_peg_333	Vsoy2_peg_537
MS2017_0949	HUE58_RS02920	Rmag_0605	Rpac_peg_1256	Rpha_peg_86	Rple_peg_544	Rrec_peg_1321	Rsou_peg_742	SP60_07405	Vdia_peg_415	Vext_peg_403	Vgig1_peg_369	Vgig2_peg_254	Vmar_0565	COSY_0558	Vsoy1_peg_593	Vsoy2_peg_792
MS2017_0630	HUE58_RS03530	Rmag_0717	Rpac_peg_1118	Rpha_peg_611	Rple_peg_266	Rrec_peg_1472	Rsou_peg_655	SP60_06620	Vdia_peg_301	Vext_peg_293	Vgig1_peg_256	Vgig2_peg_144	Vmar_0676	COSY_0666	Vsoy1_peg_703	Vsoy2_peg_903
MS2017_0950	HUE58_RS02915	Rmag_0604	Rpac_peg_1257	Rpha_peg_87	Rple_peg_545	Rrec_peg_1320	Rsou_peg_743	SP60_07410	Vdia_peg_416	Vext_peg_404	Vgig1_peg_370	Vgig2_peg_255	Vmar_0564	COSY_0557	Vsoy1_peg_592	Vsoy2_peg_791
MS2017_1933	HUE58_RS06545	Rmag_0138	Rpac_peg_36	Rpha_peg_1949	Rple_peg_1390	Rrec_peg_889	Rsou_peg_1768	SP60_05060	Vdia_peg_843	Vext_peg_832	Vgig1_peg_147	Vgig2_peg_36	Vmar_0137	COSY_0140	Vsoy1_peg_164	Vsoy2_peg_369
MS2017_2172	HUE58_RS05320	Rmag_1027	Rpac_peg_823	Rpha_peg_871	Rple_peg_1067	Rrec_peg_627	Rsou_peg_395	SP60_03650	Vdia_peg_30	Vext_peg_27	Vgig1_peg_947	Vgig2_peg_831	Vmar_0933	COSY_0929	Vsoy1_peg_965	Vsoy2_peg_180
MS2017_1934	HUE58_RS06540	Rmag_0137	Rpac_peg_37	Rpha_peg_1948	Rple_peg_1391	Rrec_peg_888	Rsou_peg_1767	SP60_05055	Vdia_peg_844	Vext_peg_833	Vgig1_peg_146	Vgig2_peg_35	Vmar_0136	COSY_0139	Vsoy1_peg_163	Vsoy2_peg_368
MS2017_1935	HUE58_RS06535	Rmag_0136	Rpac_peg_38	Rpha_peg_1947	Rple_peg_1392	Rrec_peg_887	Rsou_peg_1766	SP60_05050	Vdia_peg_845	Vext_peg_834	Vgig1_peg_145	Vgig2_peg_34	Vmar_0135	COSY_0138	Vsoy1_peg_162	Vsoy2_peg_367
MS2017_2176	HUE58_RS05310	Rmag_1025	Rpac_peg_821	Rpha_peg_869	Rple_peg_1065	Rrec_peg_625	Rsou_peg_397	SP60_03640	Vdia_peg_32	Vext_peg_29	Vgig1_peg_944	Vgig2_peg_829	Vmar_0931	COSY_0927	Vsoy1_peg_963	Vsoy2_peg_178
MS2017_1937	HUE58_RS06525	Rmag_0134	Rpac_peg_40	Rpha_peg_1945	Rple_peg_1394	Rrec_peg_885	Rsou_peg_1764	SP60_05040	Vdia_peg_847	Vext_peg_836	Vgig1_peg_143	Vgig2_peg_32	Vmar_0133	COSY_0136	Vsoy1_peg_160	Vsoy2_peg_365
MS2017_2177	HUE58_RS05305	Rmag_1024	Rpac_peg_820	Rpha_peg_868	Rple_peg_1064	Rrec_peg_624	Rsou_peg_398	SP60_03635	Vdia_peg_33	Vext_peg_30	Vgig1_peg_943	Vgig2_peg_828	Vmar_0930	COSY_0926	Vsoy1_peg_962	Vsoy2_peg_177
MS2017_1938	HUE58_RS06520	Rmag_0133	Rpac_peg_41	Rpha_peg_1944	Rple_peg_1395	Rrec_peg_884	Rsou_peg_1763	SP60_05035	Vdia_peg_848	Vext_peg_837	Vgig1_peg_142	Vgig2_peg_31	Vmar_0132	COSY_0135	Vsoy1_peg_159	Vsoy2_peg_364
MS2017_2179	HUE58_RS05295	Rmag_1023	Rpac_peg_818	Rpha_peg_866	Rple_peg_1062	Rrec_peg_622	Rsou_peg_400	SP60_03625	Vdia_peg_35	Vext_peg_32	Vgig1_peg_941	Vgig2_peg_826	Vmar_0928	COSY_0924	Vsoy1_peg_960	Vsoy2_peg_175
MS2017_0672	HUE58_RS03460	Rmag_0698	Rpac_peg_1138	Rpha_peg_646	Rple_peg_228	Rrec_peg_1453	Rsou_peg_208	SP60_06760	Vdia_peg_319	Vext_peg_311	Vgig1_peg_273	Vgig2_peg_161	Vmar_0658	COSY_0650	Vsoy1_peg_686	Vsoy2_peg_886
MS2017_2180	HUE58_RS05290	Rmag_1022	Rpac_peg_817	Rpha_peg_865	Rple_peg_1061	Rrec_peg_621	Rsou_peg_401	SP60_03620	Vdia_peg_36	Vext_peg_33	Vgig1_peg_940	Vgig2_peg_825	Vmar_0927	COSY_0923	Vsoy1_peg_959	Vsoy2_peg_174
MS2017_1941	HUE58_RS06515	Rmag_0132	Rpac_peg_42	Rpha_peg_1943	Rple_peg_1396	Rrec_peg_883	Rsou_peg_1762	SP60_05030	Vdia_peg_849	Vext_peg_838	Vgig1_peg_141	Vgig2_peg_30	Vmar_0131	COSY_0134	Vsoy1_peg_158	Vsoy2_peg_363
MS2017_0276	HUE58_RS04695	Rmag_0936	Rpac_peg_702	Rpha_peg_1394	Rple_peg_917	Rrec_peg_499	Rsou_peg_1281	SP60_02995	Vdia_peg_113	Vext_peg_108	Vgig1_peg_864	Vgig2_peg_751	Vmar_0852	COSY_0843	Vsoy1_peg_882	Vsoy2_peg_98
MS2017_0550	HUE58_RS00280	Rmag_0770	Rpac_peg_298	Rpha_peg_2081	Rple_peg_345	Rrec_peg_280	Rsou_peg_1100	SP60_06335	Vdia_peg_249	Vext_peg_244	Vgig1_peg_209	Vgig2_peg_98	Vmar_0722	COSY_0707	Vsoy1_peg_747	Vsoy2_peg_947
MS2017_0277	HUE58_RS04690	Rmag_0935	Rpac_peg_701	Rpha_peg_1395	Rple_peg_916	Rrec_peg_498	Rsou_peg_1280	SP60_02990	Vdia_peg_114	Vext_peg_109	Vgig1_peg_863	Vgig2_peg_750	Vmar_0851	COSY_0842	Vsoy1_peg_881	Vsoy2_peg_97
MS2017_0551	HUE58_RS00285	Rmag_0769	Rpac_peg_299	Rpha_peg_2082	Rple_peg_344	Rrec_peg_279	Rsou_peg_1099	SP60_06340	Vdia_peg_250	Vext_peg_245	Vgig1_peg_210	Vgig2_peg_99	Vmar_0721	COSY_0706	Vsoy1_peg_746	Vsoy2_peg_946
MS2017_0031	HUE58_RS05715	Rmag_0016	Rpac_peg_213	Rpha_peg_1045	Rple_peg_1573	Rrec_peg_719	Rsou_peg_1780	SP60_04100	Vdia_peg_968	Vext_peg_956	Vgig1_peg_26	Vgig2_peg_942	Vmar_0018	COSY_0016	Vsoy1_peg_42	Vsoy2_peg_246
MS2017_1504	HUE58_RS01300	Rmag_0364	Rpac_peg_530	Rpha_peg_562	Rple_peg_702	Rrec_peg_65	Rsou_peg_2036	SP60_01175	Vdia_peg_636	Vext_peg_625	Vgig1_peg_591	Vgig2_peg_479	Vmar_0341	COSY_0339	Vsoy1_peg_365	Vsoy2_peg_568
MS2017_0033	HUE58_RS05725	Rmag_0018	Rpac_peg_211	Rpha_peg_1047	Rple_peg_1570	Rrec_peg_721	Rsou_peg_1778	SP60_04110	Vdia_peg_967	Vext_peg_955	Vgig1_peg_27	Vgig2_peg_941	Vmar_0019	COSY_0017	Vsoy1_peg_43	Vsoy2_peg_247
MS2017_0280	HUE58_RS04675	Rmag_0934	Rpac_peg_699	Rpha_peg_1400	Rple_peg_911	Rrec_peg_496	Rsou_peg_1277	SP60_02975	Vdia_peg_116	Vext_peg_111	Vgig1_peg_861	Vgig2_peg_748	Vmar_0849	COSY_0840	Vsoy1_peg_879	Vsoy2_peg_95
MS2017_1505	HUE58_RS01295	Rmag_0363	Rpac_peg_529	Rpha_peg_563	Rple_peg_701	Rrec_peg_66	Rsou_peg_2037	SP60_01180	Vdia_peg_637	Vext_peg_626	Vgig1_peg_592	Vgig2_peg_480	Vmar_0340	COSY_0340	Vsoy1_peg_364	Vsoy2_peg_567
MS2017_0555	HUE58_RS00295	Rmag_0767	Rpac_peg_301	Rpha_peg_2084	Rple_peg_341	Rrec_peg_277	Rsou_peg_1097	SP60_06350	Vdia_peg_251	Vext_peg_246	Vgig1_peg_211	Vgig2_peg_100	Vmar_0720	COSY_0705	Vsoy1_peg_745	Vsoy2_peg_945
MS2017_1506	HUE58_RS01290	Rmag_0362	Rpac_peg_528	Rpha_peg_564	Rple_peg_700	Rrec_peg_67	Rsou_peg_2038	SP60_01185	Vdia_peg_638	Vext_peg_627	Vgig1_peg_593	Vgig2_peg_481	Vmar_0339	COSY_0341	Vsoy1_peg_363	Vsoy2_peg_566
MS2017_0282	HUE58_RS04665	Rmag_0932	Rpac_peg_697	Rpha_peg_1402	Rple_peg_909	Rrec_peg_494	Rsou_peg_1274	SP60_02965	Vdia_peg_118	Vext_peg_113	Vgig1_peg_859	Vgig2_peg_746	Vmar_0847	COSY_0838	Vsoy1_peg_877	Vsoy2_peg_93
MS2017_1507	HUE58_RS01285	Rmag_0361	Rpac_peg_527	Rpha_peg_565	Rple_peg_699	Rrec_peg_68	Rsou_peg_2039	SP60_01190	Vdia_peg_639	Vext_peg_628	Vgig1_peg_594	Vgig2_peg_482	Vmar_0338	COSY_0342	Vsoy1_peg_362	Vsoy2_peg_565
MS2017_0594	HUE58_RS03680	Rmag_0745	Rpac_peg_1087	Rpha_peg_580	Rple_peg_300	Rrec_peg_1503	Rsou_peg_687	SP60_06470	Vdia_peg_272	Vext_peg_267	Vgig1_peg_231	Vgig2_peg_119	Vmar_0704	COSY_0690	Vsoy1_peg_729	Vsoy2_peg_929
