Bathy	SUP05	R.magnifica	R.pacifica	R.phaseoliformis	R.pleocardia	R.rectimargo	R.southwardae	V.diagonalis	V.extenta	V.okutanii	V.gigas2	V.soyoae2	V.gigas1	V.soyoae1	product	genome_count
MS2017_1758	SP60_01940	Rmag_0879	Rpac_peg_646	Rpha_peg_1459	Rple_peg_848	Rrec_peg_439	Rsou_peg_53	Vdia_peg_152	Vext_peg_147	COSY_0803	Vgig2_peg_711	Vsoy2_peg_58	Vgig1_peg_823	Vsoy1_peg_841	Sulfur carrier protein ThiS	15
MS2017_1762	SP60_01945	Rmag_0880	Rpac_peg_654	Rpha_peg_1452	Rple_peg_857	Rrec_peg_450	Rsou_peg_63	Vdia_peg_151	Vext_peg_146	COSY_0804	Vgig2_peg_713	Vsoy2_peg_60	Vgig1_peg_825	Vsoy1_peg_843	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61)	15
MS2017_1764	SP60_01955	Rmag_0881	Rpac_peg_657	Rpha_peg_1450	Rple_peg_859	Rrec_peg_455	Rsou_peg_66	Vdia_peg_150	Vext_peg_145	COSY_0805	Vgig2_peg_714	Vsoy2_peg_61	Vgig1_peg_826	Vsoy1_peg_844	tRNA 2-thiouridine synthesizing protein E (EC 2.8.1.-)	15
MS2017_1765	SP60_01960	Rmag_0882	Rpac_peg_658	Rpha_peg_1449	Rple_peg_860	Rrec_peg_456	Rsou_peg_67	Vdia_peg_149	Vext_peg_144	COSY_0806	Vgig2_peg_715	Vsoy2_peg_62	Vgig1_peg_827	Vsoy1_peg_845	Alanyl-tRNA synthetase (EC 6.1.1.7)	15
MS2017_1768	SP60_01980	Rmag_0883	Rpac_peg_663	Rpha_peg_1445	Rple_peg_863	Rrec_peg_459	Rsou_peg_1988	Vdia_peg_146	Vext_peg_141	COSY_0809	Vgig2_peg_718	Vsoy2_peg_65	Vgig1_peg_830	Vsoy1_peg_848	Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)	15
MS2017_1771	SP60_01985	Rmag_0885	Rpac_peg_665	Rpha_peg_1443	Rple_peg_865	Rrec_peg_461	Rsou_peg_1990	Vdia_peg_144	Vext_peg_139	COSY_0811	Vgig2_peg_720	Vsoy2_peg_67	Vgig1_peg_832	Vsoy1_peg_850	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)	15
MS2017_1772	SP60_01990	Rmag_0884	Rpac_peg_664	Rpha_peg_1444	Rple_peg_864	Rrec_peg_460	Rsou_peg_1989	Vdia_peg_145	Vext_peg_140	COSY_0810	Vgig2_peg_719	Vsoy2_peg_66	Vgig1_peg_831	Vsoy1_peg_849	Glucose-6-phosphate isomerase (EC 5.3.1.9)	15
MS2017_1779	SP60_02575	Rmag_0909	Rpac_peg_673	Rpha_peg_1431	Rple_peg_880	Rrec_peg_472	Rsou_peg_260	Vdia_peg_139	Vext_peg_134	COSY_0816	Vgig2_peg_725	Vsoy2_peg_72	Vgig1_peg_838	Vsoy1_peg_856	Glutaminyl-tRNA synthetase (EC 6.1.1.18)	15
MS2017_1782	SP60_05560	Rmag_0227	Rpac_peg_347	Rpha_peg_2187	Rple_peg_94	Rrec_peg_235	Rsou_peg_1026	Vdia_peg_765	Vext_peg_754	COSY_0220	Vgig2_peg_597	Vsoy2_peg_448	Vgig1_peg_709	Vsoy1_peg_243	Ribose 5-phosphate isomerase A (EC 5.3.1.6)	15
MS2017_1784	SP60_05550	Rmag_0225	Rpac_peg_344	Rpha_peg_2189	Rple_peg_92	Rrec_peg_237	Rsou_peg_1024	Vdia_peg_766	Vext_peg_755	COSY_0219	Vgig2_peg_598	Vsoy2_peg_446	Vgig1_peg_711	Vsoy1_peg_241	Rhodanese-like domain protein	15
MS2017_1785	SP60_05545	Rmag_0224	Rpac_peg_343	Rpha_peg_2190	Rple_peg_91	Rrec_peg_238	Rsou_peg_1023	Vdia_peg_767	Vext_peg_756	COSY_0218	Vgig2_peg_599	Vsoy2_peg_445	Vgig1_peg_712	Vsoy1_peg_240	NADH dehydrogenase (EC 1.6.99.3)	15
MS2017_1789	SP60_05540	Rmag_0223	Rpac_peg_342	Rpha_peg_2191	Rple_peg_90	Rrec_peg_239	Rsou_peg_1022	Vdia_peg_768	Vext_peg_757	COSY_0217	Vgig2_peg_600	Vsoy2_peg_444	Vgig1_peg_713	Vsoy1_peg_239	Phosphoserine phosphatase (EC 3.1.3.3)	15
MS2017_1790	SP60_05530	Rmag_0222	Rpac_peg_339	Rpha_peg_2194	Rple_peg_88	Rrec_peg_241	Rsou_peg_1018	Vdia_peg_769	Vext_peg_758	COSY_0216	Vgig2_peg_602	Vsoy2_peg_443	Vgig1_peg_715	Vsoy1_peg_238	Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8)	15
MS2017_1791	SP60_05525	Rmag_0221	Rpac_peg_338	Rpha_peg_2195	Rple_peg_87	Rrec_peg_242	Rsou_peg_1017	Vdia_peg_770	Vext_peg_759	COSY_0215	Vgig2_peg_603	Vsoy2_peg_442	Vgig1_peg_716	Vsoy1_peg_237	DNA polymerase III delta prime subunit (EC 2.7.7.7)	15
MS2017_1794	SP60_05505	Rmag_0217	Rpac_peg_334	Rpha_peg_2200	Rple_peg_83	Rrec_peg_245	Rsou_peg_1013	Vdia_peg_773	Vext_peg_762	COSY_0212	Vgig2_peg_607	Vsoy2_peg_439	Vgig1_peg_720	Vsoy1_peg_234	Permease of the major facilitator superfamily	15
MS2017_1795	SP60_05500	Rmag_0216	Rpac_peg_333	Rpha_peg_2201	Rple_peg_82	Rrec_peg_246	Rsou_peg_1012	Vdia_peg_774	Vext_peg_763	COSY_0211	Vgig2_peg_608	Vsoy2_peg_438	Vgig1_peg_721	Vsoy1_peg_233	FIG01199972: hypothetical protein	15
MS2017_1796	SP60_05495	Rmag_0215	Rpac_peg_332	Rpha_peg_2202	Rple_peg_81	Rrec_peg_247	Rsou_peg_1011	Vdia_peg_775	Vext_peg_764	COSY_0210	Vgig2_peg_609	Vsoy2_peg_437	Vgig1_peg_722	Vsoy1_peg_232	Nitrogen regulatory protein P-II	15
MS2017_1797	SP60_05490	Rmag_0214	Rpac_peg_331	Rpha_peg_2203	Rple_peg_80	Rrec_peg_248	Rsou_peg_1010	Vdia_peg_776	Vext_peg_765	COSY_0209	Vgig2_peg_610	Vsoy2_peg_436	Vgig1_peg_723	Vsoy1_peg_231	FIG01200823: hypothetical protein	15
MS2017_1798	SP60_05485	Rmag_0213	Rpac_peg_330	Rpha_peg_2204	Rple_peg_79	Rrec_peg_249	Rsou_peg_1009	Vdia_peg_777	Vext_peg_766	COSY_0208	Vgig2_peg_611	Vsoy2_peg_435	Vgig1_peg_724	Vsoy1_peg_230	hypothetical protein	15
MS2017_1800	SP60_05470	Rmag_0211	Rpac_peg_326	Rpha_peg_2208	Rple_peg_75	Rrec_peg_251	Rsou_peg_1006	Vdia_peg_778	Vext_peg_767	COSY_0207	Vgig2_peg_612	Vsoy2_peg_434	Vgig1_peg_725	Vsoy1_peg_229	Cytosol aminopeptidase PepA (EC 3.4.11.1)	15
MS2017_1804	SP60_05455	Rmag_0208	Rpac_peg_1073	Rpha_peg_13	Rple_peg_11	Rrec_peg_978	Rsou_peg_1207	Vdia_peg_780	Vext_peg_769	COSY_0205	Vgig2_peg_614	Vsoy2_peg_432	Vgig1_peg_727	Vsoy1_peg_227	ATP-dependent protease La (EC 3.4.21.53) Type I	15
MS2017_1806	SP60_05445	Rmag_0206	Rpac_peg_1071	Rpha_peg_11	Rple_peg_16	Rrec_peg_976	Rsou_peg_1205	Vdia_peg_781	Vext_peg_770	COSY_0204	Vgig2_peg_615	Vsoy2_peg_431	Vgig1_peg_728	Vsoy1_peg_226	ATP-dependent Clp protease ATP-binding subunit ClpX	15
MS2017_1807	SP60_05440	Rmag_0205	Rpac_peg_1070	Rpha_peg_10	Rple_peg_17	Rrec_peg_975	Rsou_peg_1204	Vdia_peg_782	Vext_peg_771	COSY_0203	Vgig2_peg_616	Vsoy2_peg_430	Vgig1_peg_729	Vsoy1_peg_225	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)	15
MS2017_1808	SP60_05435	Rmag_0204	Rpac_peg_1069	Rpha_peg_9	Rple_peg_18	Rrec_peg_974	Rsou_peg_1203	Vdia_peg_783	Vext_peg_772	COSY_0202	Vgig2_peg_617	Vsoy2_peg_429	Vgig1_peg_730	Vsoy1_peg_224	Cell division trigger factor (EC 5.2.1.8)	15
MS2017_1809	SP60_05430	Rmag_0203	Rpac_peg_1068	Rpha_peg_8	Rple_peg_19	Rrec_peg_973	Rsou_peg_1202	Vdia_peg_784	Vext_peg_773	COSY_0201	Vgig2_peg_618	Vsoy2_peg_428	Vgig1_peg_731	Vsoy1_peg_223	Cytochrome c4	15
MS2017_1810	SP60_05425	Rmag_0201	Rpac_peg_1066	Rpha_peg_6	Rple_peg_21	Rrec_peg_971	Rsou_peg_1200	Vdia_peg_785	Vext_peg_774	COSY_0200	Vgig2_peg_619	Vsoy2_peg_427	Vgig1_peg_732	Vsoy1_peg_222	Cytochrome c4	15
MS2017_1811	SP60_05420	Rmag_0200	Rpac_peg_1065	Rpha_peg_5	Rple_peg_22	Rrec_peg_970	Rsou_peg_1199	Vdia_peg_786	Vext_peg_775	COSY_0199	Vgig2_peg_620	Vsoy2_peg_426	Vgig1_peg_733	Vsoy1_peg_221	GTP-binding protein EngB	15
MS2017_1812	SP60_05415	Rmag_0199	Rpac_peg_1064	Rpha_peg_4	Rple_peg_23	Rrec_peg_969	Rsou_peg_1198	Vdia_peg_787	Vext_peg_776	COSY_0198	Vgig2_peg_621	Vsoy2_peg_425	Vgig1_peg_734	Vsoy1_peg_220	FIG01199495: hypothetical protein	15
MS2017_1818	SP60_05410	Rmag_0197	Rpac_peg_1062	Rpha_peg_1157	Rple_peg_26	Rrec_peg_966	Rsou_peg_1209	Vdia_peg_788	Vext_peg_777	COSY_0197	Vgig2_peg_622	Vsoy2_peg_424	Vgig1_peg_735	Vsoy1_peg_219	tRNA nucleotidyltransferase (EC 2.7.7.21) (EC 2.7.7.25)	15
MS2017_1825	SP60_05370	Rmag_0191	Rpac_peg_1051	Rpha_peg_1607	Rple_peg_39	Rrec_peg_952	Rsou_peg_1223	Vdia_peg_790	Vext_peg_779	COSY_0195	Vgig2_peg_626	Vsoy2_peg_421	Vgig1_peg_737	Vsoy1_peg_216	LSU ribosomal protein L17p	15
MS2017_1826	SP60_05365	Rmag_0190	Rpac_peg_1050	Rpha_peg_1606	Rple_peg_40	Rrec_peg_951	Rsou_peg_1224	Vdia_peg_791	Vext_peg_780	COSY_0194	Vgig2_peg_627	Vsoy2_peg_420	Vgig1_peg_738	Vsoy1_peg_215	DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6)	15
MS2017_1827	SP60_05360	Rmag_0189	Rpac_peg_1049	Rpha_peg_1605	Rple_peg_41	Rrec_peg_950	Rsou_peg_1225	Vdia_peg_792	Vext_peg_781	COSY_0193	Vgig2_peg_628	Vsoy2_peg_419	Vgig1_peg_739	Vsoy1_peg_214	SSU ribosomal protein S4p (S9e)	15
MS2017_1828	SP60_05355	Rmag_0188	Rpac_peg_1048	Rpha_peg_1604	Rple_peg_42	Rrec_peg_949	Rsou_peg_1226	Vdia_peg_793	Vext_peg_782	COSY_0192	Vgig2_peg_629	Vsoy2_peg_418	Vgig1_peg_740	Vsoy1_peg_213	SSU ribosomal protein S11p (S14e)	15
MS2017_1829	SP60_05350	Rmag_0187	Rpac_peg_1047	Rpha_peg_1603	Rple_peg_43	Rrec_peg_948	Rsou_peg_1227	Vdia_peg_794	Vext_peg_783	COSY_0191	Vgig2_peg_630	Vsoy2_peg_417	Vgig1_peg_741	Vsoy1_peg_212	SSU ribosomal protein S13p (S18e)	15
MS2017_1831	SP60_05340	Rmag_0185	Rpac_peg_1045	Rpha_peg_1601	Rple_peg_45	Rrec_peg_946	Rsou_peg_1229	Vdia_peg_796	Vext_peg_785	COSY_0189	Vgig2_peg_632	Vsoy2_peg_415	Vgig1_peg_743	Vsoy1_peg_210	Preprotein translocase secY subunit (TC 3.A.5.1.1)	15
MS2017_1832	SP60_05335	Rmag_0184	Rpac_peg_1044	Rpha_peg_1600	Rple_peg_46	Rrec_peg_945	Rsou_peg_1230	Vdia_peg_797	Vext_peg_786	COSY_0188	Vgig2_peg_633	Vsoy2_peg_414	Vgig1_peg_744	Vsoy1_peg_209	LSU ribosomal protein L15p (L27Ae)	15
MS2017_1833	SP60_05330	Rmag_0183	Rpac_peg_1043	Rpha_peg_1599	Rple_peg_47	Rrec_peg_944	Rsou_peg_1231	Vdia_peg_798	Vext_peg_787	COSY_0187	Vgig2_peg_634	Vsoy2_peg_413	Vgig1_peg_745	Vsoy1_peg_208	LSU ribosomal protein L30p (L7e)	15
MS2017_1834	SP60_05325	Rmag_0182	Rpac_peg_1042	Rpha_peg_1598	Rple_peg_48	Rrec_peg_943	Rsou_peg_1232	Vdia_peg_799	Vext_peg_788	COSY_0186	Vgig2_peg_635	Vsoy2_peg_412	Vgig1_peg_746	Vsoy1_peg_207	SSU ribosomal protein S5p (S2e)	15
MS2017_1835	SP60_05320	Rmag_0181	Rpac_peg_1041	Rpha_peg_1597	Rple_peg_49	Rrec_peg_942	Rsou_peg_1233	Vdia_peg_800	Vext_peg_789	COSY_0185	Vgig2_peg_636	Vsoy2_peg_411	Vgig1_peg_747	Vsoy1_peg_206	LSU ribosomal protein L18p (L5e)	15
MS2017_1836	SP60_05315	Rmag_0180	Rpac_peg_1040	Rpha_peg_1596	Rple_peg_50	Rrec_peg_941	Rsou_peg_1234	Vdia_peg_801	Vext_peg_790	COSY_0184	Vgig2_peg_637	Vsoy2_peg_410	Vgig1_peg_748	Vsoy1_peg_205	LSU ribosomal protein L6p (L9e)	15
MS2017_1837	SP60_05310	Rmag_0179	Rpac_peg_1039	Rpha_peg_1595	Rple_peg_51	Rrec_peg_940	Rsou_peg_1235	Vdia_peg_802	Vext_peg_791	COSY_0183	Vgig2_peg_638	Vsoy2_peg_409	Vgig1_peg_749	Vsoy1_peg_204	SSU ribosomal protein S8p (S15Ae)	15
MS2017_1838	SP60_05305	Rmag_0178	Rpac_peg_1038	Rpha_peg_1594	Rple_peg_52	Rrec_peg_939	Rsou_peg_1236	Vdia_peg_803	Vext_peg_792	COSY_0182	Vgig2_peg_639	Vsoy2_peg_408	Vgig1_peg_750	Vsoy1_peg_203	SSU ribosomal protein S14p (S29e) @ SSU ribosomal protein S14p (S29e), zinc-independent	15
MS2017_1839	SP60_05300	Rmag_0177	Rpac_peg_1037	Rpha_peg_1593	Rple_peg_53	Rrec_peg_938	Rsou_peg_1237	Vdia_peg_804	Vext_peg_793	COSY_0181	Vgig2_peg_640	Vsoy2_peg_407	Vgig1_peg_751	Vsoy1_peg_202	LSU ribosomal protein L5p (L11e)	15
MS2017_1840	SP60_05295	Rmag_0176	Rpac_peg_1036	Rpha_peg_1592	Rple_peg_54	Rrec_peg_937	Rsou_peg_1238	Vdia_peg_805	Vext_peg_794	COSY_0180	Vgig2_peg_641	Vsoy2_peg_406	Vgig1_peg_752	Vsoy1_peg_201	LSU ribosomal protein L24p (L26e)	15
MS2017_1841	SP60_05290	Rmag_0175	Rpac_peg_1035	Rpha_peg_1591	Rple_peg_55	Rrec_peg_936	Rsou_peg_1239	Vdia_peg_806	Vext_peg_795	COSY_0179	Vgig2_peg_642	Vsoy2_peg_405	Vgig1_peg_753	Vsoy1_peg_200	LSU ribosomal protein L14p (L23e)	15
MS2017_1842	SP60_05285	Rmag_0174	Rpac_peg_1034	Rpha_peg_1590	Rple_peg_56	Rrec_peg_935	Rsou_peg_1240	Vdia_peg_807	Vext_peg_796	COSY_0178	Vgig2_peg_643	Vsoy2_peg_404	Vgig1_peg_754	Vsoy1_peg_199	SSU ribosomal protein S17p (S11e)	15
MS2017_1843	SP60_05280	Rmag_0173	Rpac_peg_1033	Rpha_peg_1589	Rple_peg_57	Rrec_peg_934	Rsou_peg_1241	Vdia_peg_808	Vext_peg_797	COSY_0177	Vgig2_peg_644	Vsoy2_peg_403	Vgig1_peg_755	Vsoy1_peg_198	LSU ribosomal protein L29p (L35e)	15
MS2017_1844	SP60_05275	Rmag_0172	Rpac_peg_1032	Rpha_peg_1588	Rple_peg_58	Rrec_peg_933	Rsou_peg_1242	Vdia_peg_809	Vext_peg_798	COSY_0176	Vgig2_peg_645	Vsoy2_peg_402	Vgig1_peg_756	Vsoy1_peg_197	LSU ribosomal protein L16p (L10e)	15
MS2017_1845	SP60_05270	Rmag_0171	Rpac_peg_1031	Rpha_peg_1587	Rple_peg_59	Rrec_peg_932	Rsou_peg_1243	Vdia_peg_810	Vext_peg_799	COSY_0175	Vgig2_peg_646	Vsoy2_peg_401	Vgig1_peg_757	Vsoy1_peg_196	SSU ribosomal protein S3p (S3e)	15
MS2017_1846	SP60_05265	Rmag_0170	Rpac_peg_1030	Rpha_peg_1586	Rple_peg_60	Rrec_peg_931	Rsou_peg_1244	Vdia_peg_811	Vext_peg_800	COSY_0174	Vgig2_peg_647	Vsoy2_peg_400	Vgig1_peg_758	Vsoy1_peg_195	LSU ribosomal protein L22p (L17e)	15
MS2017_1847	SP60_05260	Rmag_0169	Rpac_peg_1029	Rpha_peg_1585	Rple_peg_61	Rrec_peg_930	Rsou_peg_1245	Vdia_peg_812	Vext_peg_801	COSY_0173	Vgig2_peg_648	Vsoy2_peg_399	Vgig1_peg_759	Vsoy1_peg_194	SSU ribosomal protein S19p (S15e)	15
MS2017_1848	SP60_05255	Rmag_0168	Rpac_peg_1028	Rpha_peg_1584	Rple_peg_62	Rrec_peg_929	Rsou_peg_1246	Vdia_peg_813	Vext_peg_802	COSY_0172	Vgig2_peg_649	Vsoy2_peg_398	Vgig1_peg_760	Vsoy1_peg_193	LSU ribosomal protein L2p (L8e)	15
MS2017_1849	SP60_05250	Rmag_0167	Rpac_peg_1027	Rpha_peg_1583	Rple_peg_63	Rrec_peg_928	Rsou_peg_1247	Vdia_peg_814	Vext_peg_803	COSY_0171	Vgig2_peg_650	Vsoy2_peg_397	Vgig1_peg_761	Vsoy1_peg_192	LSU ribosomal protein L23p (L23Ae)	15
MS2017_1850	SP60_05245	Rmag_0166	Rpac_peg_1026	Rpha_peg_1582	Rple_peg_64	Rrec_peg_927	Rsou_peg_1248	Vdia_peg_815	Vext_peg_804	COSY_0170	Vgig2_peg_651	Vsoy2_peg_396	Vgig1_peg_762	Vsoy1_peg_191	LSU ribosomal protein L4p (L1e)	15
MS2017_1851	SP60_05240	Rmag_0165	Rpac_peg_1025	Rpha_peg_1581	Rple_peg_65	Rrec_peg_926	Rsou_peg_1249	Vdia_peg_816	Vext_peg_805	COSY_0169	Vgig2_peg_652	Vsoy2_peg_395	Vgig1_peg_763	Vsoy1_peg_190	LSU ribosomal protein L3p (L3e)	15
MS2017_1852	SP60_05235	Rmag_0164	Rpac_peg_1024	Rpha_peg_1580	Rple_peg_66	Rrec_peg_925	Rsou_peg_1250	Vdia_peg_817	Vext_peg_806	COSY_0168	Vgig2_peg_653	Vsoy2_peg_394	Vgig1_peg_764	Vsoy1_peg_189	SSU ribosomal protein S10p (S20e)	15
MS2017_1854	SP60_05225	Rmag_0162	Rpac_peg_3	Rpha_peg_1995	Rple_peg_1340	Rrec_peg_923	Rsou_peg_1966	Vdia_peg_819	Vext_peg_808	COSY_0166	Vgig2_peg_60	Vsoy2_peg_392	Vgig1_peg_170	Vsoy1_peg_187	Translation elongation factor G	15
MS2017_1855	SP60_05220	Rmag_0161	Rpac_peg_4	Rpha_peg_1994	Rple_peg_1341	Rrec_peg_922	Rsou_peg_1965	Vdia_peg_820	Vext_peg_809	COSY_0165	Vgig2_peg_59	Vsoy2_peg_391	Vgig1_peg_169	Vsoy1_peg_186	SSU ribosomal protein S7p (S5e)	15
MS2017_1856	SP60_05215	Rmag_0160	Rpac_peg_5	Rpha_peg_1993	Rple_peg_1342	Rrec_peg_921	Rsou_peg_1964	Vdia_peg_821	Vext_peg_810	COSY_0164	Vgig2_peg_58	Vsoy2_peg_390	Vgig1_peg_168	Vsoy1_peg_185	SSU ribosomal protein S12p (S23e)	15
MS2017_1858	SP60_05205	Rmag_0158	Rpac_peg_6	Rpha_peg_1991	Rple_peg_1344	Rrec_peg_920	Rsou_peg_1962	Vdia_peg_822	Vext_peg_811	COSY_0163	Vgig2_peg_57	Vsoy2_peg_389	Vgig1_peg_167	Vsoy1_peg_184	Arabinose 5-phosphate isomerase (EC 5.3.1.13)	15
MS2017_1861	SP60_05195	Rmag_0156	Rpac_peg_9	Rpha_peg_1988	Rple_peg_1352	Rrec_peg_917	Rsou_peg_961	Vdia_peg_824	Vext_peg_813	COSY_0161	Vgig2_peg_55	Vsoy2_peg_387	Vgig1_peg_165	Vsoy1_peg_182	Sulfur oxidation protein SoxB	15
MS2017_1871	SP60_05185	Rmag_0153	Rpac_peg_12	Rpha_peg_1983	Rple_peg_1356	Rrec_peg_913	Rsou_peg_956	Vdia_peg_827	Vext_peg_816	COSY_0159	Vgig2_peg_52	Vsoy2_peg_385	Vgig1_peg_163	Vsoy1_peg_180	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6- diaminopimelate--D-alanyl-D-alanine ligase (EC 6.3.2.10)	15
MS2017_1872	SP60_05175	Rmag_0152	Rpac_peg_13	Rpha_peg_1982	Rple_peg_1357	Rrec_peg_912	Rsou_peg_955	Vdia_peg_828	Vext_peg_817	COSY_0157	Vgig2_peg_51	Vsoy2_peg_384	Vgig1_peg_162	Vsoy1_peg_179	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	15
MS2017_1873	SP60_05150	Rmag_0151	Rpac_peg_14	Rpha_peg_1981	Rple_peg_1358	Rrec_peg_911	Rsou_peg_954	Vdia_peg_829	Vext_peg_818	COSY_0154	Vgig2_peg_50	Vsoy2_peg_383	Vgig1_peg_161	Vsoy1_peg_178	Argininosuccinate synthase (EC 6.3.4.5)	15
MS2017_1878	SP60_05125	Rmag_0147	Rpac_peg_18	Rpha_peg_1975	Rple_peg_1364	Rrec_peg_904	Rsou_peg_949	Vdia_peg_832	Vext_peg_821	COSY_0151	Vgig2_peg_47	Vsoy2_peg_380	Vgig1_peg_158	Vsoy1_peg_175	Translation elongation factor P	15
MS2017_1881	SP60_05120	Rmag_0146	Rpac_peg_23	Rpha_peg_1971	Rple_peg_1367	Rrec_peg_903	Rsou_peg_948	Vdia_peg_833	Vext_peg_822	COSY_0150	Vgig2_peg_46	Vsoy2_peg_379	Vgig1_peg_157	Vsoy1_peg_174	Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5)	15
MS2017_1882	SP60_05115	Rmag_0145	Rpac_peg_24	Rpha_peg_1970	Rple_peg_1368	Rrec_peg_902	Rsou_peg_947	Vdia_peg_834	Vext_peg_823	COSY_0149	Vgig2_peg_45	Vsoy2_peg_378	Vgig1_peg_156	Vsoy1_peg_173	Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5)	15
MS2017_1883	SP60_05110	Rmag_0144	Rpac_peg_25	Rpha_peg_1969	Rple_peg_1369	Rrec_peg_901	Rsou_peg_946	Vdia_peg_835	Vext_peg_824	COSY_0148	Vgig2_peg_44	Vsoy2_peg_377	Vgig1_peg_155	Vsoy1_peg_172	hypothetical protein	15
MS2017_1923	SP60_05090	Rmag_0143	Rpac_peg_29	Rpha_peg_1964	Rple_peg_1372	Rrec_peg_898	Rsou_peg_940	Vdia_peg_837	Vext_peg_826	COSY_0146	Vgig2_peg_42	Vsoy2_peg_375	Vgig1_peg_153	Vsoy1_peg_170	Electron transport complex protein RnfG	15
MS2017_1924	SP60_05085	Rmag_0142	Rpac_peg_30	Rpha_peg_1963	Rple_peg_1373	Rrec_peg_897	Rsou_peg_939	Vdia_peg_838	Vext_peg_827	COSY_0145	Vgig2_peg_41	Vsoy2_peg_374	Vgig1_peg_152	Vsoy1_peg_169	Electron transport complex protein RnfD	15
MS2017_1925	SP60_05080	Rmag_0141	Rpac_peg_31	Rpha_peg_1962	Rple_peg_1374	Rrec_peg_896	Rsou_peg_938	Vdia_peg_839	Vext_peg_828	COSY_0144	Vgig2_peg_40	Vsoy2_peg_373	Vgig1_peg_151	Vsoy1_peg_168	Electron transport complex protein RnfC	15
MS2017_1926	SP60_05075	Rmag_0140	Rpac_peg_32	Rpha_peg_1961	Rple_peg_1375	Rrec_peg_895	Rsou_peg_937	Vdia_peg_840	Vext_peg_829	COSY_0143	Vgig2_peg_39	Vsoy2_peg_372	Vgig1_peg_150	Vsoy1_peg_167	Electron transport complex protein RnfB	15
MS2017_1927	SP60_05070	Rmag_0139	Rpac_peg_33	Rpha_peg_1960	Rple_peg_1376	Rrec_peg_894	Rsou_peg_936	Vdia_peg_841	Vext_peg_830	COSY_0142	Vgig2_peg_38	Vsoy2_peg_371	Vgig1_peg_149	Vsoy1_peg_166	Electron transport complex protein RnfA	15
MS2017_1933	SP60_05060	Rmag_0138	Rpac_peg_36	Rpha_peg_1949	Rple_peg_1390	Rrec_peg_889	Rsou_peg_1768	Vdia_peg_843	Vext_peg_832	COSY_0140	Vgig2_peg_36	Vsoy2_peg_369	Vgig1_peg_147	Vsoy1_peg_164	Phosphoglucosamine mutase (EC 5.4.2.10)	15
MS2017_1934	SP60_05055	Rmag_0137	Rpac_peg_37	Rpha_peg_1948	Rple_peg_1391	Rrec_peg_888	Rsou_peg_1767	Vdia_peg_844	Vext_peg_833	COSY_0139	Vgig2_peg_35	Vsoy2_peg_368	Vgig1_peg_146	Vsoy1_peg_163	Dihydropteroate synthase (EC 2.5.1.15)	15
MS2017_1935	SP60_05050	Rmag_0136	Rpac_peg_38	Rpha_peg_1947	Rple_peg_1392	Rrec_peg_887	Rsou_peg_1766	Vdia_peg_845	Vext_peg_834	COSY_0138	Vgig2_peg_34	Vsoy2_peg_367	Vgig1_peg_145	Vsoy1_peg_162	Cell division protein FtsH (EC 3.4.24.-)	15
MS2017_1936	SP60_05045	Rmag_0135	Rpac_peg_39	Rpha_peg_1946	Rple_peg_1393	Rrec_peg_886	Rsou_peg_1765	Vdia_peg_846	Vext_peg_835	COSY_0137	Vgig2_peg_33	Vsoy2_peg_366	Vgig1_peg_144	Vsoy1_peg_161	hypothetical protein	15
MS2017_1937	SP60_05040	Rmag_0134	Rpac_peg_40	Rpha_peg_1945	Rple_peg_1394	Rrec_peg_885	Rsou_peg_1764	Vdia_peg_847	Vext_peg_836	COSY_0136	Vgig2_peg_32	Vsoy2_peg_365	Vgig1_peg_143	Vsoy1_peg_160	DNA polymerase III delta subunit (EC 2.7.7.7)	15
MS2017_1938	SP60_05035	Rmag_0133	Rpac_peg_41	Rpha_peg_1944	Rple_peg_1395	Rrec_peg_884	Rsou_peg_1763	Vdia_peg_848	Vext_peg_837	COSY_0135	Vgig2_peg_31	Vsoy2_peg_364	Vgig1_peg_142	Vsoy1_peg_159	Gamma-glutamyl phosphate reductase (EC 1.2.1.41)	15
MS2017_1941	SP60_05030	Rmag_0132	Rpac_peg_42	Rpha_peg_1943	Rple_peg_1396	Rrec_peg_883	Rsou_peg_1762	Vdia_peg_849	Vext_peg_838	COSY_0134	Vgig2_peg_30	Vsoy2_peg_363	Vgig1_peg_141	Vsoy1_peg_158	Tyrosyl-tRNA synthetase (EC 6.1.1.1)	15
MS2017_1947	SP60_04885	Rmag_0127	Rpac_peg_45	Rpha_peg_1941	Rple_peg_1398	Rrec_peg_876	Rsou_peg_1945	Vdia_peg_851	Vext_peg_840	COSY_0132	Vgig2_peg_28	Vsoy2_peg_361	Vgig1_peg_139	Vsoy1_peg_156	ATP-dependent RNA helicase RhlE	15
