	T_autotrophicus	B_thermophilus_symbiont	R_fausta	R_magnifica	R_pacifica	R_phaseoliformis	R_pliocardia	R_rectimargo	R_southwardae	V_diagonalis	V_extenta	V_gigas1	V_gigas2	V_marissinica	V_okutanii	V_soyoae1	V_soyoae2	Genome_Count	Gene	Function
OG0000423	SP60_07685	MS2017_0998	HUE58_RS02670	Rmag_0571	Rpac_peg_1306	Rpha_peg_142	Rpli_peg_1145	Rrec_peg_1263	Rsou_peg_921	Vdia_peg_449	Vext_peg_436	Vgig1_peg_403	Vgig2_peg_288	Vmar_0532	COSY_0526	Vsoy1_peg_556	Vsoy2_peg_755	17	mrp	Scaffold protein for [4Fe-4S] cluster assembly ApbC, MRP-like
OG0000424	SP60_03585	MS2017_2184	HUE58_RS05275	Rmag_1019	Rpac_peg_814	Rpha_peg_862	Rpli_peg_1058	Rrec_peg_618	Rsou_peg_413	Vdia_peg_39	Vext_peg_36	Vgig1_peg_937	Vgig2_peg_822	Vmar_0924	COSY_0920	Vsoy1_peg_956	Vsoy2_peg_171	17	folA	Dihydrofolate reductase (EC 1.5.1.3)
OG0000425	SP60_01875	MS2017_1750	HUE58_RS04375	Rmag_0871	Rpac_peg_636	Rpha_peg_1472	Rpli_peg_837	Rrec_peg_428	Rsou_peg_43	Vdia_peg_160	Vext_peg_155	Vgig1_peg_815	Vgig2_peg_704	Vmar_0806	COSY_0796	Vsoy1_peg_834	Vsoy2_peg_51	17	gltD	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)
OG0000426	SP60_07690	MS2017_0999	HUE58_RS02665_pseudo	Rmag_0570	Rpac_peg_1307	Rpha_peg_143	Rpli_peg_1146	Rrec_peg_1262	Rsou_peg_920	Vdia_peg_450	Vext_peg_437	Vgig1_peg_404	Vgig2_peg_289	Vmar_0531	COSY_0525	Vsoy1_peg_555	Vsoy2_peg_754	17	metG	Methionyl-tRNA synthetase (EC 6.1.1.10)
OG0000427	SP60_01200	MS2017_1514	HUE58_RS01275	Rmag_0356	Rpac_peg_524	Rpha_peg_1643	Rpli_peg_685	Rrec_peg_71	Rsou_peg_1288	Vdia_peg_641	Vext_peg_630	Vgig1_peg_595	Vgig2_peg_483	Vmar_0337	COSY_0343	Vsoy1_peg_360	Vsoy2_peg_564	17	ppa	Inorganic pyrophosphatase (EC 3.6.1.1)
OG0000428	SP60_01880	MS2017_1751	HUE58_RS04380	Rmag_0872	Rpac_peg_637	Rpha_peg_1471	Rpli_peg_838	Rrec_peg_429	Rsou_peg_44	Vdia_peg_159	Vext_peg_154	Vgig1_peg_816	Vgig2_peg_705	Vmar_0807	COSY_0797	Vsoy1_peg_835	Vsoy2_peg_52	17	rplS	LSU ribosomal protein L19p
OG0000429	SP60_07825	MS2017_1001	HUE58_RS02655	Rmag_0568	Rpac_peg_1310	Rpha_peg_144	Rpli_peg_1147	Rrec_peg_1260	Rsou_peg_919	Vdia_peg_451	Vext_peg_438	Vgig1_peg_405	Vgig2_peg_290	Vmar_0530	COSY_0523	Vsoy1_peg_554	Vsoy2_peg_753	17	prlC	Oligopeptidase A (EC 3.4.24.70)
OG0000430	SP60_01210	MS2017_1516	HUE58_RS01265	Rmag_0354	Rpac_peg_522	Rpha_peg_1645	Rpli_peg_683	Rrec_peg_73	Rsou_peg_1290	Vdia_peg_643	Vext_peg_632	Vgig1_peg_596	Vgig2_peg_484	Vmar_0335	COSY_0345	Vsoy1_peg_359	Vsoy2_peg_563	17	coaD	Phosphopantetheine adenylyltransferase (EC 2.7.7.3)
OG0000431	SP60_04005	MS2017_2186	HUE58_RS05625	Rmag_1076	Rpac_peg_232	Rpha_peg_1017	Rpli_peg_1596	Rrec_peg_700	Rsou_peg_1458	Vdia_peg_985	Vext_peg_973	Vgig1_peg_8	Vgig2_peg_960	Vmar_0982	COSY_0977	Vsoy1_peg_24	Vsoy2_peg_228	17	tpiA	Triosephosphate isomerase (EC 5.3.1.1)
OG0000432	SP60_06635	MS2017_0637	HUE58_RS03515	Rmag_0714	Rpac_peg_1120	Rpha_peg_614	Rpli_peg_263	Rrec_peg_1468	Rsou_peg_652	Vdia_peg_303	Vext_peg_295	Vgig1_peg_258	Vgig2_peg_146	Vmar_0673	COSY_0664	Vsoy1_peg_701	Vsoy2_peg_901	17		Cobalt-zinc-cadmium resistance protein
OG0000433	SP60_01915	MS2017_1753	HUE58_RS04400	Rmag_0874	Rpac_peg_641	Rpha_peg_1464	Rpli_peg_843	Rrec_peg_434	Rsou_peg_48	Vdia_peg_157	Vext_peg_152	Vgig1_peg_818	Vgig2_peg_706	Vmar_0808	COSY_0798	Vsoy1_peg_836	Vsoy2_peg_53	17	greA	Transcription elongation factor GreA
OG0000434	SP60_07830	MS2017_1002	HUE58_RS02650	Rmag_0567	Rpac_peg_1311	Rpha_peg_145	Rpli_peg_1148	Rrec_peg_1259	Rsou_peg_918	Vdia_peg_452	Vext_peg_439	Vgig1_peg_406	Vgig2_peg_291	Vmar_0529	COSY_0522	Vsoy1_peg_553	Vsoy2_peg_752	17		Hypothetical protein
OG0000435	SP60_01215	MS2017_1517	HUE58_RS01260	Rmag_0353	Rpac_peg_521	Rpha_peg_1646	Rpli_peg_682	Rrec_peg_74	Rsou_peg_1291	Vdia_peg_644	Vext_peg_633	Vgig1_peg_597	Vgig2_peg_485	Vmar_0334	COSY_0346	Vsoy1_peg_358	Vsoy2_peg_562	17	dnaK	Chaperone protein DnaK
OG0000436	SP60_01920	MS2017_1754	HUE58_RS04405	Rmag_0875	Rpac_peg_642	Rpha_peg_1463	Rpli_peg_844	Rrec_peg_435	Rsou_peg_49	Vdia_peg_156	Vext_peg_151	Vgig1_peg_819	Vgig2_peg_707	Vmar_0809	COSY_0799	Vsoy1_peg_837	Vsoy2_peg_54	17	carB	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)
OG0000437	SP60_07835	MS2017_1003	HUE58_RS02645	Rmag_0566	Rpac_peg_1312	Rpha_peg_146	Rpli_peg_1149	Rrec_peg_1258	Rsou_peg_917	Vdia_peg_453	Vext_peg_440	Vgig1_peg_407	Vgig2_peg_292	Vmar_0528	COSY_0521	Vsoy1_peg_552	Vsoy2_peg_751	17	fabF	3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)
OG0000438	SP60_01220	MS2017_1518	HUE58_RS01255	Rmag_0352	Rpac_peg_520	Rpha_peg_1647	Rpli_peg_681	Rrec_peg_75	Rsou_peg_1292	Vdia_peg_645	Vext_peg_634	Vgig1_peg_598	Vgig2_peg_486	Vmar_0333	COSY_0347	Vsoy1_peg_357	Vsoy2_peg_561	17	dnaJ	Chaperone protein DnaJ
OG0000439	SP60_01925	MS2017_1755	HUE58_RS04410	Rmag_0876	Rpac_peg_643	Rpha_peg_1462	Rpli_peg_845	Rrec_peg_436	Rsou_peg_50	Vdia_peg_155	Vext_peg_150	Vgig1_peg_820	Vgig2_peg_708	Vmar_0810	COSY_0800	Vsoy1_peg_838	Vsoy2_peg_55	17	vacJ/mlaA	VacJ family lipoprotein
OG0000440	SP60_04040	MS2017_0010	HUE58_RS05655	Rmag_0005	Rpac_peg_226	Rpha_peg_1031	Rpli_peg_1587	Rrec_peg_706	Rsou_peg_1796	Vdia_peg_979	Vext_peg_967	Vgig1_peg_14	Vgig2_peg_954	Vmar_0005	COSY_0005	Vsoy1_peg_30	Vsoy2_peg_234	17	leuS	Leucyl-tRNA synthetase (EC 6.1.1.4)
OG0000441	SP60_07840	MS2017_1004	HUE58_RS02640	Rmag_0565	Rpac_peg_1313	Rpha_peg_147	Rpli_peg_1150	Rrec_peg_1257	Rsou_peg_916	Vdia_peg_454	Vext_peg_441	Vgig1_peg_408	Vgig2_peg_293	Vmar_0527	COSY_0520	Vsoy1_peg_551	Vsoy2_peg_750	17	acpP	Acyl carrier protein
OG0000442	SP60_06685	MS2017_0640	HUE58_RS03490	Rmag_0704	Rpac_peg_1128	Rpha_peg_635	Rpli_peg_244	Rrec_peg_1461	Rsou_peg_216	Vdia_peg_313	Vext_peg_305	Vgig1_peg_267	Vgig2_peg_155	Vmar_0664	COSY_0655	Vsoy1_peg_692	Vsoy2_peg_892	17	argJ	Glutamate N-acetyltransferase (EC 2.3.1.35) / N-acetylglutamate synthase (EC 2.3.1.1)
OG0000443	SP60_01930	MS2017_1756	HUE58_RS04415	Rmag_0877	Rpac_peg_644	Rpha_peg_1461	Rpli_peg_846	Rrec_peg_437	Rsou_peg_51	Vdia_peg_154	Vext_peg_149	Vgig1_peg_821	Vgig2_peg_709	Vmar_0811	COSY_0801	Vsoy1_peg_839	Vsoy2_peg_56	17	carA	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)
OG0000444	SP60_07845	MS2017_1005	HUE58_RS02635_pseudo	Rmag_0564	Rpac_peg_1314_pseudo	Rpha_peg_148	Rpli_peg_1151	Rrec_peg_1255_pseudo	Rsou_peg_915	Vdia_peg_455	Vext_peg_442	Vgig1_peg_409	Vgig2_peg_294	Vmar_0526	COSY_0519	Vsoy1_peg_550	Vsoy2_peg_749	17	exsB/queC	Queuosine Biosynthesis QueC ATPase
OG0000445	SP60_01085	MS2017_1470	HUE58_RS01365	Rmag_0378	Rpac_peg_547	Rpha_peg_532	Rpli_peg_730	Rrec_peg_50	Rsou_peg_2012	Vdia_peg_624	Vext_peg_613	Vgig1_peg_579	Vgig2_peg_464	Vmar_0353	COSY_0353	Vsoy1_peg_378	Vsoy2_peg_581	17		Putative oligoketide cyclase/dehydratase or lipid transport protein YfjG
OG0000446	SP60_05655	MS2017_0365	HUE58_RS00615	Rmag_0245	Rpac_peg_370	Rpha_peg_1103	Rpli_peg_115	Rrec_peg_210	Rsou_peg_1062	Vdia_peg_748	Vext_peg_737	Vgig1_peg_692	Vgig2_peg_580	Vmar_0235	COSY_0237	Vsoy1_peg_260	Vsoy2_peg_465	17	nuoI	NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)
OG0000447	SP60_07040	MS2017_0715	HUE58_RS03275	Rmag_0668	Rpac_peg_1178	Rpha_peg_1295	Rpli_peg_466	Rrec_peg_1403	Rsou_peg_860	Vdia_peg_359	Vext_peg_349	Vgig1_peg_312	Vgig2_peg_199	Vmar_0621	COSY_0613	Vsoy1_peg_648	Vsoy2_peg_848	17	alr	Alanine racemase, biosynthetic (EC 5.1.1.1)
OG0000448	SP60_01390	MS2017_1590	HUE58_RS01110	Rmag_0325	Rpac_peg_488	Rpha_peg_1682	Rpli_peg_651	Rrec_peg_101	Rsou_peg_1324	Vdia_peg_673	Vext_peg_662	Vgig1_peg_624	Vgig2_peg_512	Vmar_0306	COSY_0306	Vsoy1_peg_331	Vsoy2_peg_535	17	gst	Glutathione S-transferase-like
OG0000449	SP60_01260	MS2017_1552	HUE58_RS01220	Rmag_0344	Rpac_peg_512	Rpha_peg_1655	Rpli_peg_673	Rrec_peg_82	Rsou_peg_1300	Vdia_peg_653	Vext_peg_642	Vgig1_peg_605	Vgig2_peg_493	Vmar_0326	COSY_0326	Vsoy1_peg_350	Vsoy2_peg_554	17	gatA	Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7)
OG0000450	SP60_07045	MS2017_0716	HUE58_RS03270	Rmag_0667	Rpac_peg_1179	Rpha_peg_1293	Rpli_peg_467	Rrec_peg_1402	Rsou_peg_859	Vdia_peg_361	Vext_peg_350	Vgig1_peg_313	Vgig2_peg_200	Vmar_0620	COSY_0612	Vsoy1_peg_647	Vsoy2_peg_847	17	dnaB	Replicative DNA helicase (EC 3.6.1.-)
OG0000451	SP60_01265	MS2017_1553	HUE58_RS01215	Rmag_0343	Rpac_peg_511	Rpha_peg_1656	Rpli_peg_672	Rrec_peg_83	Rsou_peg_1301	Vdia_peg_654	Vext_peg_643	Vgig1_peg_606	Vgig2_peg_494	Vmar_0325	COSY_0325	Vsoy1_peg_349	Vsoy2_peg_553	17	gatC	Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.7)
OG0000452	SP60_05660	MS2017_0367	HUE58_RS00620	Rmag_0246	Rpac_peg_371	Rpha_peg_1102	Rpli_peg_116	Rrec_peg_209	Rsou_peg_1063	Vdia_peg_747	Vext_peg_736	Vgig1_peg_691	Vgig2_peg_579	Vmar_0236	COSY_0238	Vsoy1_peg_261	Vsoy2_peg_466	17	nuoJ	NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)
OG0000453	SP60_07050	MS2017_0717	HUE58_RS03265	Rmag_0666	Rpac_peg_1180	Rpha_peg_1292	Rpli_peg_468	Rrec_peg_1401	Rsou_peg_858	Vdia_peg_362	Vext_peg_351	Vgig1_peg_314	Vgig2_peg_201	Vmar_0619	COSY_0611	Vsoy1_peg_646	Vsoy2_peg_846	17	rplI	LSU ribosomal protein L9p
OG0000454	SP60_01270	MS2017_1554	HUE58_RS01210	Rmag_0342	Rpac_peg_510	Rpha_peg_1657	Rpli_peg_671	Rrec_peg_84	Rsou_peg_1302	Vdia_peg_655	Vext_peg_644	Vgig1_peg_607	Vgig2_peg_495	Vmar_0324	COSY_0324	Vsoy1_peg_348	Vsoy2_peg_552	17		Hypothetical protein
OG0000455	SP60_05665	MS2017_0368	HUE58_RS00625	Rmag_0247	Rpac_peg_372	Rpha_peg_1101	Rpli_peg_117	Rrec_peg_208	Rsou_peg_1064	Vdia_peg_746	Vext_peg_735	Vgig1_peg_690	Vgig2_peg_578	Vmar_0237	COSY_0239	Vsoy1_peg_262	Vsoy2_peg_467	17	nuoK	NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)
OG0000456	SP60_07055	MS2017_0718	HUE58_RS03260	Rmag_0665	Rpac_peg_1181	Rpha_peg_1291	Rpli_peg_469	Rrec_peg_1400	Rsou_peg_857	Vdia_peg_363	Vext_peg_352	Vgig1_peg_315	Vgig2_peg_202	Vmar_0618	COSY_0610	Vsoy1_peg_645	Vsoy2_peg_845	17	rpsR	SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent
OG0000457	SP60_00365	MS2017_0844	HUE58_RS02005	Rmag_0466	Rpac_peg_940	Rpha_peg_317	Rpli_peg_1272	Rrec_peg_1117	Rsou_peg_1847	Vdia_peg_545	Vext_peg_533	Vgig1_peg_500	Vgig2_peg_387	Vmar_0435	COSY_0431	Vsoy1_peg_459	Vsoy2_peg_658	17	dnaX	DNA polymerase III subunits gamma and tau (EC 2.7.7.7)
OG0000458	SP60_01275	MS2017_1555	HUE58_RS01205	Rmag_0341	Rpac_peg_509	Rpha_peg_1658	Rpli_peg_670	Rrec_peg_85	Rsou_peg_1303	Vdia_peg_656	Vext_peg_645	Vgig1_peg_608	Vgig2_peg_496	Vmar_0323	COSY_0323	Vsoy1_peg_347	Vsoy2_peg_551	17	aroB	3-dehydroquinate synthase (EC 4.2.3.4)
OG0000459	SP60_07060	MS2017_0719	HUE58_RS03255	Rmag_0664	Rpac_peg_1182	Rpha_peg_1290	Rpli_peg_470	Rrec_peg_1399_pseudo	Rsou_peg_856	Vdia_peg_364	Vext_peg_353	Vgig1_peg_316	Vgig2_peg_203	Vmar_0617	COSY_0609	Vsoy1_peg_644	Vsoy2_peg_844	17	rpsF	SSU ribosomal protein S6p
OG0000460	SP60_01280	MS2017_1556	HUE58_RS01200	Rmag_0340	Rpac_peg_508	Rpha_peg_1659	Rpli_peg_669	Rrec_peg_86	Rsou_peg_1304	Vdia_peg_657	Vext_peg_646	Vgig1_peg_609	Vgig2_peg_497	Vmar_0322	COSY_0322	Vsoy1_peg_346	Vsoy2_peg_550	17	ileS	Isoleucyl-tRNA synthetase (EC 6.1.1.5)
OG0000461	SP60_01110, SP60_01115, SP60_06170, SP60_06270, SP60_06275_pseudo	MS2017_1476, MS2017_1477	HUE58_RS00175_pseudo	Rmag_0789_pseudo	Rpac_peg_272_pseudo, Rpac_peg_546_pseudo	Rpha_peg_2041, Rpha_peg_541_pseudo, Rpha_peg_542_pseudo	Rpli_peg_375_pseudo	Rrec_peg_309_pseudo	Rsou_peg_1140_pseudo									9		Hypothetical protein
OG0000462	SP60_04885	MS2017_1947	HUE58_RS06475	Rmag_0127	Rpac_peg_45	Rpha_peg_1941	Rpli_peg_1398	Rrec_peg_876	Rsou_peg_1945	Vdia_peg_851	Vext_peg_840	Vgig1_peg_139	Vgig2_peg_28	Vmar_0129	COSY_0132	Vsoy1_peg_156	Vsoy2_peg_361	17	rhlE	ATP-dependent RNA helicase RhlE
OG0000463	SP60_05670	MS2017_0371	HUE58_RS00645	Rmag_0248	Rpac_peg_373	Rpha_peg_1098	Rpli_peg_120	Rrec_peg_205	Rsou_peg_1067	Vdia_peg_745	Vext_peg_734	Vgig1_peg_689	Vgig2_peg_577	Vmar_0238	COSY_0240	Vsoy1_peg_263	Vsoy2_peg_468	17	nuoL	NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)
OG0000464	SP60_01400	MS2017_1595	HUE58_RS01100	Rmag_0323	Rpac_peg_486	Rpha_peg_1684	Rpli_peg_649	Rrec_peg_103	Rsou_peg_1326	Vdia_peg_675	Vext_peg_664	Vgig1_peg_626	Vgig2_peg_514	Vmar_0304	COSY_0304	Vsoy1_peg_329	Vsoy2_peg_533	17	dsbE	Cytochrome c-type biogenesis protein CcmG/DsbE, thiol:disulfide oxidoreductase
OG0000465	SP60_00340	MS2017_0847	HUE58_RS02025	Rmag_0469	Rpac_peg_937	Rpha_peg_314	Rpli_peg_1269	Rrec_peg_1120	Rsou_peg_1850	Vdia_peg_544	Vext_peg_532	Vgig1_peg_499	Vgig2_peg_386	Vmar_0436	COSY_0432	Vsoy1_peg_461	Vsoy2_peg_660	17	dat	D-alanine aminotransferase (EC 2.6.1.21)
OG0000466	SP60_05675	MS2017_0372	HUE58_RS00650	Rmag_0249	Rpac_peg_374	Rpha_peg_1097	Rpli_peg_121	Rrec_peg_204	Rsou_peg_1068	Vdia_peg_744	Vext_peg_733	Vgig1_peg_688	Vgig2_peg_576	Vmar_0239	COSY_0241	Vsoy1_peg_264	Vsoy2_peg_469	17	nuoM	NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3)
OG0000467	SP60_02615	MS2017_0331	HUE58_RS04575	Rmag_0915	Rpac_peg_680	Rpha_peg_1419	Rpli_peg_892	Rrec_peg_478	Rsou_peg_249	Vdia_peg_134	Vext_peg_129	Vgig1_peg_843	Vgig2_peg_730	Vmar_0831	COSY_0821	Vsoy1_peg_861	Vsoy2_peg_77	17	tadA	tRNA-specific adenosine-34 deaminase (EC 3.5.4.-)
OG0000468	SP60_00335	MS2017_0848	HUE58_RS02030	Rmag_0470	Rpac_peg_936	Rpha_peg_313	Rpli_peg_1268	Rrec_peg_1121	Rsou_peg_1851	Vdia_peg_543	Vext_peg_531	Vgig1_peg_498	Vgig2_peg_385	Vmar_0437	COSY_0433	Vsoy1_peg_462	Vsoy2_peg_661	17	dacC	D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)
OG0000469	SP60_04875	MS2017_1949	HUE58_RS06460	Rmag_0126	Rpac_peg_47	Rpha_peg_1940	Rpli_peg_1400	Rrec_peg_874	Rsou_peg_1946	Vdia_peg_852	Vext_peg_841	Vgig1_peg_138	Vgig2_peg_27	Vmar_0128	COSY_0131	Vsoy1_peg_155	Vsoy2_peg_360	17	bolA	Cell division protein BolA
OG0000470	SP60_05680	MS2017_0373	HUE58_RS00655	Rmag_0250	Rpac_peg_375	Rpha_peg_1096	Rpli_peg_122	Rrec_peg_203	Rsou_peg_1069	Vdia_peg_743	Vext_peg_732	Vgig1_peg_687	Vgig2_peg_575	Vmar_0240	COSY_0242	Vsoy1_peg_265	Vsoy2_peg_470	17	nuoN	NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3)
OG0000471	SP60_02610	MS2017_0332	HUE58_RS04570	Rmag_0914	Rpac_peg_679	Rpha_peg_1420	Rpli_peg_891	Rrec_peg_477	Rsou_peg_250	Vdia_peg_135	Vext_peg_130	Vgig1_peg_842	Vgig2_peg_729	Vmar_0830	COSY_0820	Vsoy1_peg_860	Vsoy2_peg_76	17	guaA	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2)
OG0000472	SP60_01410	MS2017_1597	HUE58_RS01090	Rmag_0321	Rpac_peg_484	Rpha_peg_1687	Rpli_peg_648	Rrec_peg_105	Rsou_peg_1328	Vdia_peg_677	Vext_peg_666	Vgig1_peg_628	Vgig2_peg_516	Vmar_0302	COSY_0302	Vsoy1_peg_327	Vsoy2_peg_531	17		Hypothetical protein
OG0000473	SP60_04870	MS2017_1950	HUE58_RS06455	Rmag_0125	Rpac_peg_48	Rpha_peg_1939	Rpli_peg_1402_pseudo	Rrec_peg_873	Rsou_peg_1947	Vdia_peg_853	Vext_peg_842	Vgig1_peg_137	Vgig2_peg_26	Vmar_0127	COSY_0130	Vsoy1_peg_154	Vsoy2_peg_359	17	pitA	Probable low-affinity inorganic phosphate transporter
OG0000474	SP60_01125	MS2017_1479	HUE58_RS01360	Rmag_0374	Rpac_peg_545	Rpha_peg_543	Rpli_peg_725	Rrec_peg_53	Rsou_peg_2017	Vdia_peg_625	Vext_peg_614	Vgig1_peg_580	Vgig2_peg_465	Vmar_0352	COSY_0352	Vsoy1_peg_377	Vsoy2_peg_580	17	rnhA	Ribonuclease HI (EC 3.1.26.4)
OG0000475	SP60_06810	MS2017_1561	HUE58_RS03425	Rmag_0692	Rpac_peg_1150	Rpha_peg_677	Rpli_peg_219	Rrec_peg_1438	Rsou_peg_179	Vdia_peg_327	Vext_peg_319	Vgig1_peg_281	Vgig2_peg_169	Vmar_0650	COSY_0642	Vsoy1_peg_677	Vsoy2_peg_877	17	moaC	Molybdenum cofactor biosynthesis protein MoaC
OG0000476	SP60_01415	MS2017_1598	HUE58_RS01085	Rmag_0320	Rpac_peg_483	Rpha_peg_1690_pseudo	Rpli_peg_647	Rrec_peg_106	Rsou_peg_1330	Vdia_peg_678	Vext_peg_667	Vgig1_peg_629	Vgig2_peg_517	Vmar_0301	COSY_0301	Vsoy1_peg_326	Vsoy2_peg_530	17	uvrD	ATP-dependent DNA helicase UvrD/PcrA
OG0000477	SP60_04865	MS2017_1952	HUE58_RS06450	Rmag_0124	Rpac_peg_49	Rpha_peg_1938	Rpli_peg_1403_pseudo	Rrec_peg_872	Rsou_peg_1948	Vdia_peg_854	Vext_peg_843	Vgig1_peg_136	Vgig2_peg_25	Vmar_0126	COSY_0129	Vsoy1_peg_153	Vsoy2_peg_358	17		Phosphate transport regulator
OG0000478	SP60_05365	MS2017_1826	HUE58_RS03855	Rmag_0190	Rpac_peg_1050	Rpha_peg_1606	Rpli_peg_40	Rrec_peg_951	Rsou_peg_1224	Vdia_peg_791	Vext_peg_780	Vgig1_peg_738	Vgig2_peg_627	Vmar_0190	COSY_0194	Vsoy1_peg_215	Vsoy2_peg_420	17	rpoA	DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6)
OG0000479	SP60_02950	MS2017_0286	HUE58_RS04650	Rmag_0929	Rpac_peg_694	Rpha_peg_1405	Rpli_peg_906	Rrec_peg_491	Rsou_peg_1271	Vdia_peg_120	Vext_peg_115	Vgig1_peg_857	Vgig2_peg_744	Vmar_0845	COSY_0836	Vsoy1_peg_875	Vsoy2_peg_91	17	ubiC	Chorismate--pyruvate lyase (EC 4.1.3.40)
OG0000480	SP60_05360	MS2017_1827	HUE58_RS03860	Rmag_0189	Rpac_peg_1049	Rpha_peg_1605	Rpli_peg_41	Rrec_peg_950	Rsou_peg_1225	Vdia_peg_792	Vext_peg_781	Vgig1_peg_739	Vgig2_peg_628	Vmar_0189	COSY_0193	Vsoy1_peg_214	Vsoy2_peg_419	17	rpsD	SSU ribosomal protein S4p (S9e)
OG0000481	SP60_02945	MS2017_0287	HUE58_RS04645	Rmag_0928	Rpac_peg_693	Rpha_peg_1406	Rpli_peg_905	Rrec_peg_490	Rsou_peg_1270	Vdia_peg_121	Vext_peg_116	Vgig1_peg_856	Vgig2_peg_743	Vmar_0844	COSY_0835	Vsoy1_peg_874	Vsoy2_peg_90	17	recG	ATP-dependent DNA helicase RecG (EC 3.6.1.-)
OG0000482	SP60_05970	MS2017_0447	HUE58_RS04010	Rmag_0819	Rpac_peg_559	Rpha_peg_1578	Rpli_peg_742	Rrec_peg_344	Rsou_peg_1800	Vdia_peg_207	Vext_peg_202	Vgig1_peg_766	Vgig2_peg_655	Vmar_0758	COSY_0748	Vsoy1_peg_785	Vsoy2_peg_1	17	maeB	NADP-dependent malic enzyme (EC 1.1.1.40)
OG0000483	SP60_06820	MS2017_0675	HUE58_RS03415	Rmag_0690	Rpac_peg_1152	Rpha_peg_679	Rpli_peg_217	Rrec_peg_1436	Rsou_peg_177	Vdia_peg_329	Vext_peg_321	Vgig1_peg_283	Vgig2_peg_171	Vmar_0648	COSY_0640	Vsoy1_peg_675	Vsoy2_peg_875	17	mobA	Molybdopterin-guanine dinucleotide biosynthesis protein MobA
OG0000484	SP60_05355	MS2017_1828	HUE58_RS03865	Rmag_0188	Rpac_peg_1048	Rpha_peg_1604	Rpli_peg_42	Rrec_peg_949	Rsou_peg_1226	Vdia_peg_793	Vext_peg_782	Vgig1_peg_740	Vgig2_peg_629	Vmar_0188	COSY_0192	Vsoy1_peg_213	Vsoy2_peg_418	17	rpsK	SSU ribosomal protein S11p (S14e)
OG0000485	SP60_02940	MS2017_0288	HUE58_RS04640	Rmag_0927	Rpac_peg_692	Rpha_peg_1407	Rpli_peg_904	Rrec_peg_489	Rsou_peg_1269	Vdia_peg_122	Vext_peg_117	Vgig1_peg_855	Vgig2_peg_742	Vmar_0843	COSY_0834	Vsoy1_peg_873	Vsoy2_peg_89	17		Bona fide RidA/YjgF/TdcF/RutC subgroup
OG0000486	SP60_06830	MS2017_0676	HUE58_RS03410	Rmag_0689_pseudo	Rpac_peg_1153	Rpha_peg_680	Rpli_peg_216	Rrec_peg_1435	Rsou_peg_176	Vdia_peg_330	Vext_peg_322	Vgig1_peg_284	Vgig2_peg_172	Vmar_0647	COSY_0639	Vsoy1_peg_674	Vsoy2_peg_874	17	moaE	Molybdenum cofactor biosynthesis protein MoaE
OG0000487	SP60_05350	MS2017_1829	HUE58_RS03870	Rmag_0187	Rpac_peg_1047	Rpha_peg_1603	Rpli_peg_43	Rrec_peg_948	Rsou_peg_1227	Vdia_peg_794	Vext_peg_783	Vgig1_peg_741	Vgig2_peg_630	Vmar_0187	COSY_0191	Vsoy1_peg_212	Vsoy2_peg_417	17	rpsM	SSU ribosomal protein S13p (S18e)
OG0000488	SP60_05540	MS2017_1789	HUE58_RS00475	Rmag_0223	Rpac_peg_342	Rpha_peg_2191	Rpli_peg_90	Rrec_peg_239	Rsou_peg_1022	Vdia_peg_768	Vext_peg_757	Vgig1_peg_713	Vgig2_peg_600	Vmar_0215	COSY_0217	Vsoy1_peg_239	Vsoy2_peg_444	17	serB	Phosphoserine phosphatase (EC 3.1.3.3)
OG0000489	SP60_05340	MS2017_1831	HUE58_RS03880	Rmag_0185	Rpac_peg_1045	Rpha_peg_1601	Rpli_peg_45	Rrec_peg_946	Rsou_peg_1229	Vdia_peg_796	Vext_peg_785	Vgig1_peg_743	Vgig2_peg_632	Vmar_0185	COSY_0189	Vsoy1_peg_210	Vsoy2_peg_415	17	secY	Preprotein translocase secY subunit (TC 3.A.5.1.1)
