	SUP05	Bathy	R.magnifica	R.fausta	R.pacifica	R.phaseoliformis	R.pliocardia	R.rectimargo	R.southwardae	V.diagonalis	V.extenta	V.soyoae1	V.soyoae2	V.gigas1	V.gigas2	V.okutanii	V.marissinica
121	SP60_01055	MS2017_1465	Rmag_0384	HUE58_RS01395	Rpac_peg_553	Rpha_peg_526	Rpli_peg_736	Rrec_peg_44	Rsou_peg_2006	Vdia_peg_619	Vext_peg_607	Vsoy1_peg_383	Vsoy2_peg_586	Vgig1_peg_574	Vgig2_peg_459	COSY_0358	Vmar_0358
123	SP60_01065	MS2017_1467	Rmag_0382	HUE58_RS01385	Rpac_peg_551	Rpha_peg_528	Rpli_peg_734	Rrec_peg_46	Rsou_peg_2008	Vdia_peg_621	Vext_peg_609	Vsoy1_peg_381	Vsoy2_peg_584	Vgig1_peg_576	Vgig2_peg_461	COSY_0356	Vmar_0356
125	SP60_01080	MS2017_1469	Rmag_0379	HUE58_RS01370	Rpac_peg_548	Rpha_peg_531	Rpli_peg_731	Rrec_peg_49	Rsou_peg_2011	Vdia_peg_623	Vext_peg_612	Vsoy1_peg_379	Vsoy2_peg_582	Vgig1_peg_578	Vgig2_peg_463	COSY_0354	Vmar_0354
126	SP60_01085	MS2017_1470	Rmag_0378	HUE58_RS01365	Rpac_peg_547	Rpha_peg_532	Rpli_peg_730	Rrec_peg_50	Rsou_peg_2012	Vdia_peg_624	Vext_peg_613	Vsoy1_peg_378	Vsoy2_peg_581	Vgig1_peg_579	Vgig2_peg_464	COSY_0353	Vmar_0353
129	SP60_01125	MS2017_1479	Rmag_0374	HUE58_RS01360	Rpac_peg_545	Rpha_peg_543	Rpli_peg_725	Rrec_peg_53	Rsou_peg_2017	Vdia_peg_625	Vext_peg_614	Vsoy1_peg_377	Vsoy2_peg_580	Vgig1_peg_580	Vgig2_peg_465	COSY_0352	Vmar_0352
130	SP60_01130	MS2017_1480	Rmag_0373	HUE58_RS01355	Rpac_peg_544	Rpha_peg_544	Rpli_peg_724	Rrec_peg_54	Rsou_peg_2018	Vdia_peg_626	Vext_peg_615	Vsoy1_peg_376	Vsoy2_peg_579	Vgig1_peg_581	Vgig2_peg_466	COSY_0351	Vmar_0351
131	SP60_01135	MS2017_1481	Rmag_0372	HUE58_RS01350	Rpac_peg_543	Rpha_peg_545	Rpli_peg_723	Rrec_peg_55	Rsou_peg_2019	Vdia_peg_627	Vext_peg_616	Vsoy1_peg_375	Vsoy2_peg_578	Vgig1_peg_582	Vgig2_peg_467	COSY_0350	Vmar_0350
132	SP60_01140	MS2017_1486	Rmag_0371	HUE58_RS01345	Rpac_peg_542	Rpha_peg_546	Rpli_peg_722	Rrec_peg_56	Rsou_peg_2020	Vdia_peg_628	Vext_peg_617	Vsoy1_peg_374	Vsoy2_peg_577	Vgig1_peg_583	Vgig2_peg_468	COSY_0349	Vmar_0349
134	SP60_01155	MS2017_1489	Rmag_0368	HUE58_RS01320	Rpac_peg_534	Rpha_peg_558	Rpli_peg_706	Rrec_peg_61	Rsou_peg_2032	Vdia_peg_632	Vext_peg_621	Vsoy1_peg_369	Vsoy2_peg_572	Vgig1_peg_587	Vgig2_peg_475	COSY_0335	Vmar_0345
135	SP60_01160	MS2017_1496	Rmag_0367	HUE58_RS01315	Rpac_peg_533	Rpha_peg_559	Rpli_peg_705	Rrec_peg_62	Rsou_peg_2033	Vdia_peg_633	Vext_peg_622	Vsoy1_peg_368	Vsoy2_peg_571	Vgig1_peg_588	Vgig2_peg_476	COSY_0336	Vmar_0344
136	SP60_01165	MS2017_1497	Rmag_0366	HUE58_RS01310	Rpac_peg_532	Rpha_peg_560	Rpli_peg_704	Rrec_peg_63	Rsou_peg_2034	Vdia_peg_634	Vext_peg_623	Vsoy1_peg_367	Vsoy2_peg_570	Vgig1_peg_589	Vgig2_peg_477	COSY_0337	Vmar_0343
137	SP60_01170	MS2017_1498	Rmag_0365	HUE58_RS01305	Rpac_peg_531	Rpha_peg_561	Rpli_peg_703	Rrec_peg_64	Rsou_peg_2035	Vdia_peg_635	Vext_peg_624	Vsoy1_peg_366	Vsoy2_peg_569	Vgig1_peg_590	Vgig2_peg_478	COSY_0338	Vmar_0342
138	SP60_01175	MS2017_1504	Rmag_0364	HUE58_RS01300	Rpac_peg_530	Rpha_peg_562	Rpli_peg_702	Rrec_peg_65	Rsou_peg_2036	Vdia_peg_636	Vext_peg_625	Vsoy1_peg_365	Vsoy2_peg_568	Vgig1_peg_591	Vgig2_peg_479	COSY_0339	Vmar_0341
139	SP60_01180	MS2017_1505	Rmag_0363	HUE58_RS01295	Rpac_peg_529	Rpha_peg_563	Rpli_peg_701	Rrec_peg_66	Rsou_peg_2037	Vdia_peg_637	Vext_peg_626	Vsoy1_peg_364	Vsoy2_peg_567	Vgig1_peg_592	Vgig2_peg_480	COSY_0340	Vmar_0340
140	SP60_01185	MS2017_1506	Rmag_0362	HUE58_RS01290	Rpac_peg_528	Rpha_peg_564	Rpli_peg_700	Rrec_peg_67	Rsou_peg_2038	Vdia_peg_638	Vext_peg_627	Vsoy1_peg_363	Vsoy2_peg_566	Vgig1_peg_593	Vgig2_peg_481	COSY_0341	Vmar_0339
141	SP60_01190	MS2017_1507	Rmag_0361	HUE58_RS01285	Rpac_peg_527	Rpha_peg_565	Rpli_peg_699	Rrec_peg_68	Rsou_peg_2039	Vdia_peg_639	Vext_peg_628	Vsoy1_peg_362	Vsoy2_peg_565	Vgig1_peg_594	Vgig2_peg_482	COSY_0342	Vmar_0338
142	SP60_01200	MS2017_1514	Rmag_0356	HUE58_RS01275	Rpac_peg_524	Rpha_peg_1643	Rpli_peg_685	Rrec_peg_71	Rsou_peg_1288	Vdia_peg_641	Vext_peg_630	Vsoy1_peg_360	Vsoy2_peg_564	Vgig1_peg_595	Vgig2_peg_483	COSY_0343	Vmar_0337
144	SP60_01210	MS2017_1516	Rmag_0354	HUE58_RS01265	Rpac_peg_522	Rpha_peg_1645	Rpli_peg_683	Rrec_peg_73	Rsou_peg_1290	Vdia_peg_643	Vext_peg_632	Vsoy1_peg_359	Vsoy2_peg_563	Vgig1_peg_596	Vgig2_peg_484	COSY_0345	Vmar_0335
145	SP60_01215	MS2017_1517	Rmag_0353	HUE58_RS01260	Rpac_peg_521	Rpha_peg_1646	Rpli_peg_682	Rrec_peg_74	Rsou_peg_1291	Vdia_peg_644	Vext_peg_633	Vsoy1_peg_358	Vsoy2_peg_562	Vgig1_peg_597	Vgig2_peg_485	COSY_0346	Vmar_0334
146	SP60_01220	MS2017_1518	Rmag_0352	HUE58_RS01255	Rpac_peg_520	Rpha_peg_1647	Rpli_peg_681	Rrec_peg_75	Rsou_peg_1292	Vdia_peg_645	Vext_peg_634	Vsoy1_peg_357	Vsoy2_peg_561	Vgig1_peg_598	Vgig2_peg_486	COSY_0347	Vmar_0333
147	SP60_01225	MS2017_1521	Rmag_0351	HUE58_RS01250	Rpac_peg_519	Rpha_peg_1648	Rpli_peg_680	Rrec_peg_76	Rsou_peg_1293	Vdia_peg_646	Vext_peg_635	Vsoy1_peg_356	Vsoy2_peg_560	Vgig1_peg_599	Vgig2_peg_487	COSY_0332	Vmar_0332
149	SP60_01245	MS2017_1525	Rmag_0347	HUE58_RS01230	Rpac_peg_514	Rpha_peg_1652	Rpli_peg_676	Rrec_peg_80	Rsou_peg_1297	Vdia_peg_651	Vext_peg_640	Vsoy1_peg_352	Vsoy2_peg_556	Vgig1_peg_603	Vgig2_peg_491	COSY_0328	Vmar_0328
150	SP60_01255	MS2017_1528	Rmag_0345	HUE58_RS01225	Rpac_peg_513	Rpha_peg_1654	Rpli_peg_674	Rrec_peg_81	Rsou_peg_1299	Vdia_peg_652	Vext_peg_641	Vsoy1_peg_351	Vsoy2_peg_555	Vgig1_peg_604	Vgig2_peg_492	COSY_0327	Vmar_0327
151	SP60_01260	MS2017_1552	Rmag_0344	HUE58_RS01220	Rpac_peg_512	Rpha_peg_1655	Rpli_peg_673	Rrec_peg_82	Rsou_peg_1300	Vdia_peg_653	Vext_peg_642	Vsoy1_peg_350	Vsoy2_peg_554	Vgig1_peg_605	Vgig2_peg_493	COSY_0326	Vmar_0326
152	SP60_01265	MS2017_1553	Rmag_0343	HUE58_RS01215	Rpac_peg_511	Rpha_peg_1656	Rpli_peg_672	Rrec_peg_83	Rsou_peg_1301	Vdia_peg_654	Vext_peg_643	Vsoy1_peg_349	Vsoy2_peg_553	Vgig1_peg_606	Vgig2_peg_494	COSY_0325	Vmar_0325
153	SP60_01270	MS2017_1554	Rmag_0342	HUE58_RS01210	Rpac_peg_510	Rpha_peg_1657	Rpli_peg_671	Rrec_peg_84	Rsou_peg_1302	Vdia_peg_655	Vext_peg_644	Vsoy1_peg_348	Vsoy2_peg_552	Vgig1_peg_607	Vgig2_peg_495	COSY_0324	Vmar_0324
154	SP60_01275	MS2017_1555	Rmag_0341	HUE58_RS01205	Rpac_peg_509	Rpha_peg_1658	Rpli_peg_670	Rrec_peg_85	Rsou_peg_1303	Vdia_peg_656	Vext_peg_645	Vsoy1_peg_347	Vsoy2_peg_551	Vgig1_peg_608	Vgig2_peg_496	COSY_0323	Vmar_0323
155	SP60_01280	MS2017_1556	Rmag_0340	HUE58_RS01200	Rpac_peg_508	Rpha_peg_1659	Rpli_peg_669	Rrec_peg_86	Rsou_peg_1304	Vdia_peg_657	Vext_peg_646	Vsoy1_peg_346	Vsoy2_peg_550	Vgig1_peg_609	Vgig2_peg_497	COSY_0322	Vmar_0322
156	SP60_01285	MS2017_1574	Rmag_0339	HUE58_RS01195	Rpac_peg_507	Rpha_peg_1661	Rpli_peg_668	Rrec_peg_87	Rsou_peg_1307	Vdia_peg_658	Vext_peg_647	Vsoy1_peg_345	Vsoy2_peg_549	Vgig1_peg_610	Vgig2_peg_498	COSY_0321	Vmar_0321
157	SP60_01290	MS2017_1576	Rmag_0338	HUE58_RS01185	Rpac_peg_506	Rpha_peg_1663	Rpli_peg_667	Rrec_peg_89	Rsou_peg_1308	Vdia_peg_659	Vext_peg_648	Vsoy1_peg_344	Vsoy2_peg_548	Vgig1_peg_611	Vgig2_peg_499	COSY_0320	Vmar_0320
158	SP60_01300	MS2017_1578	Rmag_0336	HUE58_RS01175	Rpac_peg_504	Rpha_peg_1665	Rpli_peg_665	Rrec_peg_91	Rsou_peg_1310	Vdia_peg_661	Vext_peg_650	Vsoy1_peg_342	Vsoy2_peg_546	Vgig1_peg_613	Vgig2_peg_501	COSY_0318	Vmar_0318
160	SP60_01325	MS2017_1580	Rmag_0333	HUE58_RS01160	Rpac_peg_500	Rpha_peg_1670	Rpli_peg_662	Rrec_peg_95	Rsou_peg_1313	Vdia_peg_664	Vext_peg_653	Vsoy1_peg_339	Vsoy2_peg_543	Vgig1_peg_616	Vgig2_peg_504	COSY_0315	Vmar_0315
166	SP60_01360	MS2017_R028	Rmag_R0012	HUE58_RS01140	Rpac_rna_14	Rpha_rna_31	Rpli_rna_11	Rrec_rna_2	Rsou_rna_25	Vdia_rna_26	Vext_rna_27	Vsoy1_rna_13	Vsoy2_rna_24	Vgig1_rna_24	Vgig2_rna_20	COSY_R0012	Vmar_R0012
167	SP60_01365	MS2017_R029	Rmag_R0011	HUE58_RS01135	Rpac_rna_13	Rpha_rna_32	Rpli_rna_10	Rrec_rna_3	Rsou_rna_26	Vdia_rna_27	Vext_rna_28	Vsoy1_rna_12	Vsoy2_rna_23	Vgig1_rna_25	Vgig2_rna_21	COSY_R0011	Vmar_R0011
168	SP60_01370	MS2017_1586	Rmag_0328	HUE58_RS01130	Rpac_peg_492	Rpha_peg_1677	Rpli_peg_656	Rrec_peg_98	Rsou_peg_1320	Vdia_peg_669	Vext_peg_658	Vsoy1_peg_334	Vsoy2_peg_538	Vgig1_peg_621	Vgig2_peg_509	COSY_0308	Vmar_0310
169	SP60_01375	MS2017_1587	Rmag_0327	HUE58_RS01125	Rpac_peg_491	Rpha_peg_1678	Rpli_peg_655	Rrec_peg_99	Rsou_peg_1321	Vdia_peg_670	Vext_peg_659	Vsoy1_peg_333	Vsoy2_peg_537	Vgig1_peg_622	Vgig2_peg_510	COSY_0307	Vmar_0309
172	SP60_01390	MS2017_1590	Rmag_0325	HUE58_RS01110	Rpac_peg_488	Rpha_peg_1682	Rpli_peg_651	Rrec_peg_101	Rsou_peg_1324	Vdia_peg_673	Vext_peg_662	Vsoy1_peg_331	Vsoy2_peg_535	Vgig1_peg_624	Vgig2_peg_512	COSY_0306	Vmar_0306
173	SP60_01400	MS2017_1595	Rmag_0323	HUE58_RS01100	Rpac_peg_486	Rpha_peg_1684	Rpli_peg_649	Rrec_peg_103	Rsou_peg_1326	Vdia_peg_675	Vext_peg_664	Vsoy1_peg_329	Vsoy2_peg_533	Vgig1_peg_626	Vgig2_peg_514	COSY_0304	Vmar_0304
175	SP60_01410	MS2017_1597	Rmag_0321	HUE58_RS01090	Rpac_peg_484	Rpha_peg_1687	Rpli_peg_648	Rrec_peg_105	Rsou_peg_1328	Vdia_peg_677	Vext_peg_666	Vsoy1_peg_327	Vsoy2_peg_531	Vgig1_peg_628	Vgig2_peg_516	COSY_0302	Vmar_0302
177	SP60_01430	MS2017_1610	Rmag_0319	HUE58_RS01075	Rpac_peg_481	Rpha_peg_1699	Rpli_peg_640	Rrec_peg_108	Rsou_peg_625	Vdia_peg_679	Vext_peg_668	Vsoy1_peg_325	Vsoy2_peg_529	Vgig1_peg_630	Vgig2_peg_518	COSY_0300	Vmar_0300
183	SP60_01465	MS2017_1631	Rmag_0314	HUE58_RS01040	Rpac_peg_474	Rpha_peg_1709	Rpli_peg_633	Rrec_peg_116	Rsou_peg_609	Vdia_peg_683	Vext_peg_672	Vsoy1_peg_322	Vsoy2_peg_526	Vgig1_peg_634	Vgig2_peg_521	COSY_0295	Vmar_0296
186	SP60_01485	MS2017_1640	Rmag_0311	HUE58_RS01020	Rpac_peg_469	Rpha_peg_1716	Rpli_peg_210	Rrec_peg_124	Rsou_peg_1712	Vdia_peg_690	Vext_peg_679	Vsoy1_peg_319	Vsoy2_peg_523	Vgig1_peg_637	Vgig2_peg_524	COSY_0292	Vmar_0293
189	SP60_01500	MS2017_1643	Rmag_0308	HUE58_RS01005	Rpac_peg_465	Rpha_peg_1721	Rpli_peg_207	Rrec_peg_128	Rsou_peg_1709	Vdia_peg_694	Vext_peg_683	Vsoy1_peg_316	Vsoy2_peg_520	Vgig1_peg_639	Vgig2_peg_526	COSY_0290	Vmar_0290
190	SP60_01505	MS2017_1644	Rmag_0307	HUE58_RS01000	Rpac_peg_464	Rpha_peg_1722	Rpli_peg_206	Rrec_peg_129	Rsou_peg_1708	Vdia_peg_695	Vext_peg_684	Vsoy1_peg_315	Vsoy2_peg_519	Vgig1_peg_640	Vgig2_peg_527	COSY_0289	Vmar_0289
191	SP60_01515	MS2017_1651	Rmag_0306	HUE58_RS00985	Rpac_peg_462	Rpha_peg_1726	Rpli_peg_204	Rrec_peg_131	Rsou_peg_1701	Vdia_peg_696	Vext_peg_685	Vsoy1_peg_314	Vsoy2_peg_518	Vgig1_peg_641	Vgig2_peg_528	COSY_0288	Vmar_0288
192	SP60_01520	MS2017_1652	Rmag_0305	HUE58_RS00980	Rpac_peg_461	Rpha_peg_1727	Rpli_peg_203	Rrec_peg_132	Rsou_peg_1700	Vdia_peg_697	Vext_peg_686	Vsoy1_peg_313	Vsoy2_peg_517	Vgig1_peg_642	Vgig2_peg_529	COSY_0287	Vmar_0287
194	SP60_01535	MS2017_1658	Rmag_0302	HUE58_RS00965	Rpac_peg_458	Rpha_peg_1730	Rpli_peg_200	Rrec_peg_135	Rsou_peg_1697	Vdia_peg_700	Vext_peg_689	Vsoy1_peg_310	Vsoy2_peg_514	Vgig1_peg_645	Vgig2_peg_532	COSY_0284	Vmar_0284
195	SP60_01545	MS2017_1666	Rmag_0822	HUE58_RS04050	Rpac_peg_565	Rpha_peg_1571	Rpli_peg_751	Rrec_peg_356	Rsou_peg_1265	Vdia_peg_205	Vext_peg_200	Vsoy1_peg_786	Vsoy2_peg_2	Vgig1_peg_767	Vgig2_peg_656	COSY_0749	Vmar_0759
196	SP60_01550	MS2017_1667	Rmag_0824	HUE58_RS04055	Rpac_peg_570	Rpha_peg_1560	Rpli_peg_757	Rrec_peg_358	Rsou_peg_1256	Vdia_peg_204	Vext_peg_199	Vsoy1_peg_787	Vsoy2_peg_3	Vgig1_peg_768	Vgig2_peg_657	COSY_0750	Vmar_0760
199	SP60_01565	MS2017_1670	Rmag_0825	HUE58_RS04070	Rpac_peg_573	Rpha_peg_1557	Rpli_peg_760	Rrec_peg_362	Rsou_peg_1253	Vdia_peg_203	Vext_peg_198	Vsoy1_peg_789	Vsoy2_peg_5	Vgig1_peg_770	Vgig2_peg_659	COSY_0751	Vmar_0762
207	SP60_01615	MS2017_1682	Rmag_0828	HUE58_RS04090	Rpac_peg_577	Rpha_peg_1542	Rpli_peg_770	Rrec_peg_369	Rsou_peg_997	Vdia_peg_201	Vext_peg_196	Vsoy1_peg_792	Vsoy2_peg_8	Vgig1_peg_773	Vgig2_peg_662	COSY_0754	Vmar_0765
208	SP60_01630	MS2017_1685	Rmag_0832	HUE58_RS04135	Rpac_peg_587	Rpha_peg_1528	Rpli_peg_782	Rrec_peg_379	Rsou_peg_984	Vdia_peg_199	Vext_peg_194	Vsoy1_peg_794	Vsoy2_peg_10	Vgig1_peg_775	Vgig2_peg_664	COSY_0756	Vmar_0767
209	SP60_01635	MS2017_1686	Rmag_0833	HUE58_RS04140	Rpac_peg_588	Rpha_peg_1527	Rpli_peg_783	Rrec_peg_380	Rsou_peg_983	Vdia_peg_198	Vext_peg_193	Vsoy1_peg_795	Vsoy2_peg_11	Vgig1_peg_776	Vgig2_peg_665	COSY_0757	Vmar_0768
212	SP60_01650	MS2017_R030	Rmag_R0032	HUE58_RS04155	Rpac_rna_19	Rpha_rna_25	Rpli_rna_16	Rrec_rna_9	Rsou_rna_22	Vdia_rna_8	Vext_rna_9	Vsoy1_rna_30	Vsoy2_rna_4	Vgig1_rna_30	Vgig2_rna_26	COSY_R0029	Vmar_R0030
213	SP60_01655	MS2017_1690	Rmag_0834	HUE58_RS04160	Rpac_peg_590	Rpha_peg_1524	Rpli_peg_787	Rrec_peg_383	Rsou_peg_980	Vdia_peg_197	Vext_peg_192	Vsoy1_peg_796	Vsoy2_peg_12	Vgig1_peg_777	Vgig2_peg_666	COSY_0759	Vmar_0769
215	SP60_01670	MS2017_1709	Rmag_0835	HUE58_RS04170	Rpac_peg_592	Rpha_peg_1517	Rpli_peg_791	Rrec_peg_386	Rsou_peg_976	Vdia_peg_196	Vext_peg_191	Vsoy1_peg_797	Vsoy2_peg_13	Vgig1_peg_778	Vgig2_peg_667	COSY_0760	Vmar_0770
216	SP60_01675	MS2017_1710	Rmag_0836	HUE58_RS04175	Rpac_peg_593	Rpha_peg_1516	Rpli_peg_792	Rrec_peg_387	Rsou_peg_975	Vdia_peg_195	Vext_peg_190	Vsoy1_peg_798	Vsoy2_peg_14	Vgig1_peg_779	Vgig2_peg_668	COSY_0761	Vmar_0771
217	SP60_01690	MS2017_1711	Rmag_0837	HUE58_RS04180	Rpac_peg_594	Rpha_peg_1515	Rpli_peg_793	Rrec_peg_388	Rsou_peg_974	Vdia_peg_194	Vext_peg_189	Vsoy1_peg_799	Vsoy2_peg_15	Vgig1_peg_780	Vgig2_peg_669	COSY_0762	Vmar_0772
218	SP60_01695	MS2017_1712	Rmag_0838	HUE58_RS04185	Rpac_peg_595	Rpha_peg_1514	Rpli_peg_794	Rrec_peg_389	Rsou_peg_973	Vdia_peg_193	Vext_peg_188	Vsoy1_peg_800	Vsoy2_peg_16	Vgig1_peg_781	Vgig2_peg_670	COSY_0763	Vmar_0773
220	SP60_01705	MS2017_1714	Rmag_0839	HUE58_RS04190	Rpac_peg_596	Rpha_peg_1513	Rpli_peg_795	Rrec_peg_390	Rsou_peg_972	Vdia_peg_192	Vext_peg_187	Vsoy1_peg_801	Vsoy2_peg_17	Vgig1_peg_782	Vgig2_peg_671	COSY_0764	Vmar_0774
221	SP60_01710	MS2017_1715	Rmag_0840	HUE58_RS04195	Rpac_peg_597	Rpha_peg_1512	Rpli_peg_796	Rrec_peg_391	Rsou_peg_971	Vdia_peg_191	Vext_peg_186	Vsoy1_peg_802	Vsoy2_peg_18	Vgig1_peg_783	Vgig2_peg_672	COSY_0765	Vmar_0775
222	SP60_01715	MS2017_1716	Rmag_0841	HUE58_RS04200	Rpac_peg_598	Rpha_peg_1511	Rpli_peg_797	Rrec_peg_392	Rsou_peg_970	Vdia_peg_190	Vext_peg_185	Vsoy1_peg_803	Vsoy2_peg_19	Vgig1_peg_784	Vgig2_peg_673	COSY_0766	Vmar_0776
223	SP60_01720	MS2017_1718	Rmag_0843	HUE58_RS04210	Rpac_peg_600	Rpha_peg_1509	Rpli_peg_799	Rrec_peg_394	Rsou_peg_968	Vdia_peg_188	Vext_peg_183	Vsoy1_peg_805	Vsoy2_peg_21	Vgig1_peg_786	Vgig2_peg_675	COSY_0768	Vmar_0778
225	SP60_01730	MS2017_1721	Rmag_0844	HUE58_RS04215	Rpac_peg_602	Rpha_peg_1506	Rpli_peg_801	Rrec_peg_396	Rsou_peg_5	Vdia_peg_186	Vext_peg_181	Vsoy1_peg_807	Vsoy2_peg_23	Vgig1_peg_788	Vgig2_peg_677	COSY_0769	Vmar_0779
226	SP60_01735	MS2017_1722	Rmag_0845	HUE58_RS04220	Rpac_peg_603	Rpha_peg_1505	Rpli_peg_802	Rrec_peg_397	Rsou_peg_6	Vdia_peg_185	Vext_peg_180	Vsoy1_peg_808	Vsoy2_peg_24	Vgig1_peg_789	Vgig2_peg_678	COSY_0770	Vmar_0780
228	SP60_01745	MS2017_1725	Rmag_0847	HUE58_RS04240	Rpac_peg_609	Rpha_peg_1498	Rpli_peg_809	Rrec_peg_401	Rsou_peg_15	Vdia_peg_184	Vext_peg_179	Vsoy1_peg_810	Vsoy2_peg_26	Vgig1_peg_791	Vgig2_peg_680	COSY_0772	Vmar_0782
229	SP60_01750	MS2017_1726	Rmag_0848	HUE58_RS04245	Rpac_peg_610	Rpha_peg_1497	Rpli_peg_810	Rrec_peg_402	Rsou_peg_16	Vdia_peg_183	Vext_peg_178	Vsoy1_peg_811	Vsoy2_peg_27	Vgig1_peg_792	Vgig2_peg_681	COSY_0773	Vmar_0783
231	SP60_01760	MS2017_R031	Rmag_R0033	HUE58_RS04255	Rpac_rna_20	Rpha_rna_24	Rpli_rna_17	Rrec_rna_10	Rsou_rna_1	Vdia_rna_7	Vext_rna_8	Vsoy1_rna_31	Vsoy2_rna_5	Vgig1_rna_31	Vgig2_rna_27	COSY_R0030	Vmar_R0031
232	SP60_01765	MS2017_1728	Rmag_0850	HUE58_RS04260	Rpac_peg_612	Rpha_peg_1495	Rpli_peg_812	Rrec_peg_404	Rsou_peg_18	Vdia_peg_181	Vext_peg_176	Vsoy1_peg_813	Vsoy2_peg_29	Vgig1_peg_794	Vgig2_peg_683	COSY_0775	Vmar_0785
233	SP60_01770	MS2017_1729	Rmag_0851	HUE58_RS04265	Rpac_peg_613	Rpha_peg_1494	Rpli_peg_813	Rrec_peg_405	Rsou_peg_20	Vdia_peg_180	Vext_peg_175	Vsoy1_peg_814	Vsoy2_peg_30	Vgig1_peg_795	Vgig2_peg_684	COSY_0776	Vmar_0786
234	SP60_01775	MS2017_1730	Rmag_0852	HUE58_RS04275	Rpac_peg_615	Rpha_peg_1493	Rpli_peg_816	Rrec_peg_408	Rsou_peg_21	Vdia_peg_179	Vext_peg_174	Vsoy1_peg_815	Vsoy2_peg_31	Vgig1_peg_796	Vgig2_peg_685	COSY_0777	Vmar_0787
235	SP60_01785	MS2017_1733	Rmag_0854	HUE58_RS04285	Rpac_peg_617	Rpha_peg_1491	Rpli_peg_818	Rrec_peg_410	Rsou_peg_23	Vdia_peg_177	Vext_peg_172	Vsoy1_peg_817	Vsoy2_peg_33	Vgig1_peg_798	Vgig2_peg_687	COSY_0779	Vmar_0789
236	SP60_01790	MS2017_1734	Rmag_0855	HUE58_RS04290	Rpac_peg_618	Rpha_peg_1490	Rpli_peg_819	Rrec_peg_411	Rsou_peg_24	Vdia_peg_176	Vext_peg_171	Vsoy1_peg_818	Vsoy2_peg_34	Vgig1_peg_799	Vgig2_peg_688	COSY_0780	Vmar_0790
237	SP60_01795	MS2017_1735	Rmag_0856	HUE58_RS04295	Rpac_peg_619	Rpha_peg_1489	Rpli_peg_820	Rrec_peg_412	Rsou_peg_25	Vdia_peg_175	Vext_peg_170	Vsoy1_peg_819	Vsoy2_peg_35	Vgig1_peg_800	Vgig2_peg_689	COSY_0781	Vmar_0791
239	SP60_01810	MS2017_1737	Rmag_0858	HUE58_RS04305	Rpac_peg_623	Rpha_peg_1486	Rpli_peg_823	Rrec_peg_414	Rsou_peg_29	Vdia_peg_173	Vext_peg_168	Vsoy1_peg_821	Vsoy2_peg_38	Vgig1_peg_802	Vgig2_peg_691	COSY_0783	Vmar_0793
240	SP60_01815	MS2017_1738	Rmag_0859	HUE58_RS04315	Rpac_peg_624	Rpha_peg_1485	Rpli_peg_824	Rrec_peg_416	Rsou_peg_30	Vdia_peg_172	Vext_peg_167	Vsoy1_peg_822	Vsoy2_peg_39	Vgig1_peg_803	Vgig2_peg_692	COSY_0784	Vmar_0794
241	SP60_01820	MS2017_1739	Rmag_0860	HUE58_RS04320	Rpac_peg_625	Rpha_peg_1484	Rpli_peg_825	Rrec_peg_417	Rsou_peg_31	Vdia_peg_171	Vext_peg_166	Vsoy1_peg_823	Vsoy2_peg_40	Vgig1_peg_804	Vgig2_peg_693	COSY_0785	Vmar_0795
242	SP60_01825	MS2017_1740	Rmag_0861	HUE58_RS04325	Rpac_peg_626	Rpha_peg_1483	Rpli_peg_826	Rrec_peg_418	Rsou_peg_32	Vdia_peg_170	Vext_peg_165	Vsoy1_peg_824	Vsoy2_peg_41	Vgig1_peg_805	Vgig2_peg_694	COSY_0786	Vmar_0796
243	SP60_01830	MS2017_1741	Rmag_0862	HUE58_RS04330	Rpac_peg_627	Rpha_peg_1482	Rpli_peg_827	Rrec_peg_419	Rsou_peg_33	Vdia_peg_169	Vext_peg_164	Vsoy1_peg_825	Vsoy2_peg_42	Vgig1_peg_806	Vgig2_peg_695	COSY_0787	Vmar_0797
244	SP60_01835	MS2017_1742	Rmag_0863	HUE58_RS04335	Rpac_peg_628	Rpha_peg_1481	Rpli_peg_828	Rrec_peg_420	Rsou_peg_34	Vdia_peg_168	Vext_peg_163	Vsoy1_peg_826	Vsoy2_peg_43	Vgig1_peg_807	Vgig2_peg_696	COSY_0788	Vmar_0798
245	SP60_01840	MS2017_1743	Rmag_0864	HUE58_RS04340	Rpac_peg_629	Rpha_peg_1480	Rpli_peg_829	Rrec_peg_421	Rsou_peg_35	Vdia_peg_167	Vext_peg_162	Vsoy1_peg_827	Vsoy2_peg_44	Vgig1_peg_808	Vgig2_peg_697	COSY_0789	Vmar_0799
246	SP60_01845	MS2017_1744	Rmag_0865	HUE58_RS04345	Rpac_peg_630	Rpha_peg_1479	Rpli_peg_830	Rrec_peg_422	Rsou_peg_36	Vdia_peg_166	Vext_peg_161	Vsoy1_peg_828	Vsoy2_peg_45	Vgig1_peg_809	Vgig2_peg_698	COSY_0790	Vmar_0800
247	SP60_01850	MS2017_1745	Rmag_0866	HUE58_RS04350	Rpac_peg_631	Rpha_peg_1478	Rpli_peg_831	Rrec_peg_423	Rsou_peg_37	Vdia_peg_165	Vext_peg_160	Vsoy1_peg_829	Vsoy2_peg_46	Vgig1_peg_810	Vgig2_peg_699	COSY_0791	Vmar_0801
