SUP05	Bathy	R.magnifica	R.fausta	R.pacifica	R.phaseoliformis	R.pliocardia	R.rectimargo	R.southwardae	V.diagonalis	V.extenta	V.soyoae1	V.soyoae2	V.gigas1	V.gigas2	V.okutanii	V.marissinica	Bathysepcomplete_AP013042	Bathyther_MIQH01	Bathyazo_CAESAP02	Sponge_JYIN01	ThioNP1complete_CP023860	ThiosingularisPS1complete_CP006911	Thioautotrophicus_DQLA01	Thioperditus_PNQY01	Thiopontius_JACNGB01
SP60_01265	MS2017_1553	Rmag_0343	HUE58_RS01215	Rpac_peg_511	Rpha_peg_1656	Rpli_peg_672	Rrec_peg_83	Rsou_peg_1301	Vdia_peg_654	Vext_peg_643	Vsoy1_peg_349	Vsoy2_peg_553	Vgig1_peg_606	Vgig2_peg_494	COSY_0325	Vmar_0325	BSEPE_0657	BGC33_10445	AZO1586R_179	Gsub_0552	CRN91_04070	W908_06290	EYG05_03205	Tper_0674	H8D41_05660
SP60_01275	MS2017_1555	Rmag_0341	HUE58_RS01205	Rpac_peg_509	Rpha_peg_1658	Rpli_peg_670	Rrec_peg_85	Rsou_peg_1303	Vdia_peg_656	Vext_peg_645	Vsoy1_peg_347	Vsoy2_peg_551	Vgig1_peg_608	Vgig2_peg_496	COSY_0323	Vmar_0323	BSEPE_0655	BGC33_10455	AZO1586R_177	Gsub_0550	CRN91_04065	W908_06295	EYG05_03215	Tper_0672	H8D41_05670
SP60_01280	MS2017_1556	Rmag_0340	HUE58_RS01200	Rpac_peg_508	Rpha_peg_1659	Rpli_peg_669	Rrec_peg_86	Rsou_peg_1304	Vdia_peg_657	Vext_peg_646	Vsoy1_peg_346	Vsoy2_peg_550	Vgig1_peg_609	Vgig2_peg_497	COSY_0322	Vmar_0322	BSEPE_0654	BGC33_10460	AZO1586R_176	Gsub_0549	CRN91_04060	W908_06300	EYG05_03220	Tper_0671	H8D41_05675
SP60_01370	MS2017_1586	Rmag_0328	HUE58_RS01130	Rpac_peg_492	Rpha_peg_1677	Rpli_peg_656	Rrec_peg_98	Rsou_peg_1320	Vdia_peg_669	Vext_peg_658	Vsoy1_peg_334	Vsoy2_peg_538	Vgig1_peg_621	Vgig2_peg_509	COSY_0308	Vmar_0310	BSEPE_0596	BGC33_11095	AZO1586R_1320	Gsub_0276	CRN91_03920	W908_06450	EYG05_00545	Tper_0658	H8D41_01075
SP60_01375	MS2017_1587	Rmag_0327	HUE58_RS01125	Rpac_peg_491	Rpha_peg_1678	Rpli_peg_655	Rrec_peg_99	Rsou_peg_1321	Vdia_peg_670	Vext_peg_659	Vsoy1_peg_333	Vsoy2_peg_537	Vgig1_peg_622	Vgig2_peg_510	COSY_0307	Vmar_0309	BSEPE_0595	BGC33_11100	AZO1586R_1316	Gsub_0277	CRN91_03915	W908_06455	EYG05_00540	Tper_0657	H8D41_01070
SP60_01485	MS2017_1640	Rmag_0311	HUE58_RS01020	Rpac_peg_469	Rpha_peg_1716	Rpli_peg_210	Rrec_peg_124	Rsou_peg_1712	Vdia_peg_690	Vext_peg_679	Vsoy1_peg_319	Vsoy2_peg_523	Vgig1_peg_637	Vgig2_peg_524	COSY_0292	Vmar_0293	BSEPE_1171	BGC33_07855	AZO1586R_392	Gsub_0668	CRN91_03860	W908_06520	EYG05_00445	Tper_0630	H8D41_00975
SP60_01515	MS2017_1651	Rmag_0306	HUE58_RS00985	Rpac_peg_462	Rpha_peg_1726	Rpli_peg_204	Rrec_peg_131	Rsou_peg_1701	Vdia_peg_696	Vext_peg_685	Vsoy1_peg_314	Vsoy2_peg_518	Vgig1_peg_641	Vgig2_peg_528	COSY_0288	Vmar_0288	BSEPE_1179	BGC33_06720	AZO1586R_268	Gsub_0676	CRN91_03820	W908_06560	EYG05_06925	Tper_0623	H8D41_00935
SP60_01535	MS2017_1658	Rmag_0302	HUE58_RS00965	Rpac_peg_458	Rpha_peg_1730	Rpli_peg_200	Rrec_peg_135	Rsou_peg_1697	Vdia_peg_700	Vext_peg_689	Vsoy1_peg_310	Vsoy2_peg_514	Vgig1_peg_645	Vgig2_peg_532	COSY_0284	Vmar_0284	BSEPE_1183	BGC33_08700	AZO1586R_2274	Gsub_0690	CRN91_03805	W908_06580	EYG05_06945	Tper_0619	H8D41_06120
SP60_01615	MS2017_1682	Rmag_0828	HUE58_RS04090	Rpac_peg_577	Rpha_peg_1542	Rpli_peg_770	Rrec_peg_369	Rsou_peg_997	Vdia_peg_201	Vext_peg_196	Vsoy1_peg_792	Vsoy2_peg_8	Vgig1_peg_773	Vgig2_peg_662	COSY_0754	Vmar_0765	BSEPE_1207	BGC33_06810	AZO1586R_813	Gsub_0171	CRN91_03730	W908_06650	EYG05_07920	Tper_0604	H8D41_06215
SP60_01630	MS2017_1685	Rmag_0832	HUE58_RS04135	Rpac_peg_587	Rpha_peg_1528	Rpli_peg_782	Rrec_peg_379	Rsou_peg_984	Vdia_peg_199	Vext_peg_194	Vsoy1_peg_794	Vsoy2_peg_10	Vgig1_peg_775	Vgig2_peg_664	COSY_0756	Vmar_0767	BSEPE_1210	BGC33_06795	AZO1586R_101	Gsub_0394	CRN91_03720	W908_06660	EYG05_07935	Tper_0602	H8D41_06230
SP60_01690	MS2017_1711	Rmag_0837	HUE58_RS04180	Rpac_peg_594	Rpha_peg_1515	Rpli_peg_793	Rrec_peg_388	Rsou_peg_974	Vdia_peg_194	Vext_peg_189	Vsoy1_peg_799	Vsoy2_peg_15	Vgig1_peg_780	Vgig2_peg_669	COSY_0762	Vmar_0772	BSEPE_1223	BGC33_12740	AZO1586R_1220	Gsub_0563	CRN91_03675	W908_06710	EYG05_04310	Tper_0158	H8D41_06290
SP60_01695	MS2017_1712	Rmag_0838	HUE58_RS04185	Rpac_peg_595	Rpha_peg_1514	Rpli_peg_794	Rrec_peg_389	Rsou_peg_973	Vdia_peg_193	Vext_peg_188	Vsoy1_peg_800	Vsoy2_peg_16	Vgig1_peg_781	Vgig2_peg_670	COSY_0763	Vmar_0773	BSEPE_1224	BGC33_12735	AZO1586R_1219	Gsub_0562	CRN91_03670	W908_06715	EYG05_04315	Tper_0157	H8D41_06295
SP60_01710	MS2017_1715	Rmag_0840	HUE58_RS04195	Rpac_peg_597	Rpha_peg_1512	Rpli_peg_796	Rrec_peg_391	Rsou_peg_971	Vdia_peg_191	Vext_peg_186	Vsoy1_peg_802	Vsoy2_peg_18	Vgig1_peg_783	Vgig2_peg_672	COSY_0765	Vmar_0775	BSEPE_1227	BGC33_12720	AZO1586R_1217	Gsub_0560	CRN91_03655	W908_06730	EYG05_04330	Tper_0152	H8D41_06320
SP60_01715	MS2017_1716	Rmag_0841	HUE58_RS04200	Rpac_peg_598	Rpha_peg_1511	Rpli_peg_797	Rrec_peg_392	Rsou_peg_970	Vdia_peg_190	Vext_peg_185	Vsoy1_peg_803	Vsoy2_peg_19	Vgig1_peg_784	Vgig2_peg_673	COSY_0766	Vmar_0776	BSEPE_1228	BGC33_12715	AZO1586R_1216	Gsub_0559	CRN91_03650	W908_06735	EYG05_04335	Tper_0151	H8D41_06325
SP60_01720	MS2017_1718	Rmag_0843	HUE58_RS04210	Rpac_peg_600	Rpha_peg_1509	Rpli_peg_799	Rrec_peg_394	Rsou_peg_968	Vdia_peg_188	Vext_peg_183	Vsoy1_peg_805	Vsoy2_peg_21	Vgig1_peg_786	Vgig2_peg_675	COSY_0768	Vmar_0778	BSEPE_1230	BGC33_12710	AZO1586R_1214	Gsub_0557	CRN91_03640	W908_06745	EYG05_02005	Tper_0149	H8D41_06335
SP60_01730	MS2017_1721	Rmag_0844	HUE58_RS04215	Rpac_peg_602	Rpha_peg_1506	Rpli_peg_801	Rrec_peg_396	Rsou_peg_5	Vdia_peg_186	Vext_peg_181	Vsoy1_peg_807	Vsoy2_peg_23	Vgig1_peg_788	Vgig2_peg_677	COSY_0769	Vmar_0779	BSEPE_1231	BGC33_12700	AZO1586R_1212	Gsub_0555	CRN91_03635	W908_06750	EYG05_01995	Tper_0147	H8D41_06345
SP60_01735	MS2017_1722	Rmag_0845	HUE58_RS04220	Rpac_peg_603	Rpha_peg_1505	Rpli_peg_802	Rrec_peg_397	Rsou_peg_6	Vdia_peg_185	Vext_peg_180	Vsoy1_peg_808	Vsoy2_peg_24	Vgig1_peg_789	Vgig2_peg_678	COSY_0770	Vmar_0780	BSEPE_1232	BGC33_12695	AZO1586R_1211	Gsub_0554	CRN91_03630	W908_06755	EYG05_01990	Tper_0146	H8D41_06350
SP60_01745	MS2017_1725	Rmag_0847	HUE58_RS04240	Rpac_peg_609	Rpha_peg_1498	Rpli_peg_809	Rrec_peg_401	Rsou_peg_15	Vdia_peg_184	Vext_peg_179	Vsoy1_peg_810	Vsoy2_peg_26	Vgig1_peg_791	Vgig2_peg_680	COSY_0772	Vmar_0782	BSEPE_1238	BGC33_12680	AZO1586R_1202	Gsub_0697	CRN91_03625	W908_06760	EYG05_01980	Tper_0144	H8D41_06360
SP60_01750	MS2017_1726	Rmag_0848	HUE58_RS04245	Rpac_peg_610	Rpha_peg_1497	Rpli_peg_810	Rrec_peg_402	Rsou_peg_16	Vdia_peg_183	Vext_peg_178	Vsoy1_peg_811	Vsoy2_peg_27	Vgig1_peg_792	Vgig2_peg_681	COSY_0773	Vmar_0783	BSEPE_1239	BGC33_12675	AZO1586R_1201	Gsub_0696	CRN91_03620	W908_06765	EYG05_01975	Tper_0143	H8D41_06365
SP60_01765	MS2017_1728	Rmag_0850	HUE58_RS04260	Rpac_peg_612	Rpha_peg_1495	Rpli_peg_812	Rrec_peg_404	Rsou_peg_18	Vdia_peg_181	Vext_peg_176	Vsoy1_peg_813	Vsoy2_peg_29	Vgig1_peg_794	Vgig2_peg_683	COSY_0775	Vmar_0785	BSEPE_1241	BGC33_12660	AZO1586R_1199	Gsub_0694	CRN91_03605	W908_06780	EYG05_01960	Tper_0141	H8D41_06380
SP60_01790	MS2017_1734	Rmag_0855	HUE58_RS04290	Rpac_peg_618	Rpha_peg_1490	Rpli_peg_819	Rrec_peg_411	Rsou_peg_24	Vdia_peg_176	Vext_peg_171	Vsoy1_peg_818	Vsoy2_peg_34	Vgig1_peg_799	Vgig2_peg_688	COSY_0780	Vmar_0790	BSEPE_1246	BGC33_10630	AZO1586R_1194	Gsub_0333	CRN91_03590	W908_06800	EYG05_01935	Tper_0136	H8D41_06405
SP60_01795	MS2017_1735	Rmag_0856	HUE58_RS04295	Rpac_peg_619	Rpha_peg_1489	Rpli_peg_820	Rrec_peg_412	Rsou_peg_25	Vdia_peg_175	Vext_peg_170	Vsoy1_peg_819	Vsoy2_peg_35	Vgig1_peg_800	Vgig2_peg_689	COSY_0781	Vmar_0791	BSEPE_1247	BGC33_10625	AZO1586R_1193	Gsub_0332	CRN91_03585	W908_06805	EYG05_01930	Tper_0135	H8D41_06410
SP60_01875	MS2017_1750	Rmag_0871	HUE58_RS04375	Rpac_peg_636	Rpha_peg_1472	Rpli_peg_837	Rrec_peg_428	Rsou_peg_43	Vdia_peg_160	Vext_peg_155	Vsoy1_peg_834	Vsoy2_peg_51	Vgig1_peg_815	Vgig2_peg_704	COSY_0796	Vmar_0806	BSEPE_1262	BGC33_10550	AZO1586R_1120	Gsub_0366	CRN91_03575	W908_06830	EYG05_02415	Tper_0119	H8D41_06490
SP60_01880	MS2017_1751	Rmag_0872	HUE58_RS04380	Rpac_peg_637	Rpha_peg_1471	Rpli_peg_838	Rrec_peg_429	Rsou_peg_44	Vdia_peg_159	Vext_peg_154	Vsoy1_peg_835	Vsoy2_peg_52	Vgig1_peg_816	Vgig2_peg_705	COSY_0797	Vmar_0807	BSEPE_1263	BGC33_10545	AZO1586R_1119	Gsub_0367	CRN91_03570	W908_06835	EYG05_02410	Tper_0118	H8D41_06495
SP60_01915	MS2017_1753	Rmag_0874	HUE58_RS04400	Rpac_peg_641	Rpha_peg_1464	Rpli_peg_843	Rrec_peg_434	Rsou_peg_48	Vdia_peg_157	Vext_peg_152	Vsoy1_peg_836	Vsoy2_peg_53	Vgig1_peg_818	Vgig2_peg_706	COSY_0798	Vmar_0808	BSEPE_1265	BGC33_10190	AZO1586R_632	Gsub_0592	CRN91_03540	W908_06860	EYG05_02400	Tper_0107	H8D41_06505
SP60_01920	MS2017_1754	Rmag_0875	HUE58_RS04405	Rpac_peg_642	Rpha_peg_1463	Rpli_peg_844	Rrec_peg_435	Rsou_peg_49	Vdia_peg_156	Vext_peg_151	Vsoy1_peg_837	Vsoy2_peg_54	Vgig1_peg_819	Vgig2_peg_707	COSY_0799	Vmar_0809	BSEPE_1266	BGC33_10195	AZO1586R_633	Gsub_0591	CRN91_03535	W908_06865	EYG05_02395	Tper_0106	H8D41_06510
SP60_01930	MS2017_1756	Rmag_0877	HUE58_RS04415	Rpac_peg_644	Rpha_peg_1461	Rpli_peg_846	Rrec_peg_437	Rsou_peg_51	Vdia_peg_154	Vext_peg_149	Vsoy1_peg_839	Vsoy2_peg_56	Vgig1_peg_821	Vgig2_peg_709	COSY_0801	Vmar_0811	BSEPE_1268	BGC33_10205	AZO1586R_635	Gsub_0589	CRN91_03530	W908_06870	EYG05_02385	Tper_0104	H8D41_06520
SP60_01960	MS2017_1765	Rmag_0882	HUE58_RS04490	Rpac_peg_658	Rpha_peg_1449	Rpli_peg_860	Rrec_peg_456	Rsou_peg_67	Vdia_peg_149	Vext_peg_144	Vsoy1_peg_845	Vsoy2_peg_62	Vgig1_peg_827	Vgig2_peg_715	COSY_0806	Vmar_0816	BSEPE_1276	BGC33_10250	AZO1586R_719	Gsub_0585	CRN91_03515	W908_06885	EYG05_02350	Tper_0098	H8D41_06555
SP60_02635	MS2017_0320	Rmag_0918	HUE58_RS04590	Rpac_peg_683	Rpha_peg_1416	Rpli_peg_895	Rrec_peg_481	Rsou_peg_245	Vdia_peg_131	Vext_peg_126	Vsoy1_peg_864	Vsoy2_peg_80	Vgig1_peg_846	Vgig2_peg_733	COSY_0824	Vmar_0834	BSEPE_1293	BGC33_07665	AZO1586R_2495	Gsub_1031	CRN91_03005	W908_07240	EYG05_04035	Tper_1418	H8D41_05615
SP60_02640	MS2017_0319	Rmag_0919	HUE58_RS04595	Rpac_peg_684	Rpha_peg_1415	Rpli_peg_896	Rrec_peg_482	Rsou_peg_244	Vdia_peg_130	Vext_peg_125	Vsoy1_peg_865	Vsoy2_peg_81	Vgig1_peg_847	Vgig2_peg_734	COSY_0825	Vmar_0835	BSEPE_1294	BGC33_07660	AZO1586R_2494	Gsub_1032	CRN91_03000	W908_07245	EYG05_04030	Tper_1419	H8D41_05610
SP60_02670	MS2017_0312	Rmag_0925	HUE58_RS04625	Rpac_peg_690	Rpha_peg_1409	Rpli_peg_902	Rrec_peg_487	Rsou_peg_238	Vdia_peg_124	Vext_peg_119	Vsoy1_peg_871	Vsoy2_peg_87	Vgig1_peg_853	Vgig2_peg_740	COSY_0831	Vmar_0841	BSEPE_1300	BGC33_10520	AZO1586R_2488	Gsub_1038	CRN91_02980	W908_07265	EYG05_04000	Tper_1425	H8D41_05580
SP60_02675	MS2017_0311	Rmag_0926	HUE58_RS04630	Rpac_peg_691	Rpha_peg_1408	Rpli_peg_903	Rrec_peg_488	Rsou_peg_237	Vdia_peg_123	Vext_peg_118	Vsoy1_peg_872	Vsoy2_peg_88	Vgig1_peg_854	Vgig2_peg_741	COSY_0832	Vmar_0842	BSEPE_1301	BGC33_10515	AZO1586R_2487	Gsub_1039	CRN91_02975	W908_07270	EYG05_03995	Tper_1426	H8D41_05575
SP60_02940	MS2017_0288	Rmag_0927	HUE58_RS04640	Rpac_peg_692	Rpha_peg_1407	Rpli_peg_904	Rrec_peg_489	Rsou_peg_1269	Vdia_peg_122	Vext_peg_117	Vsoy1_peg_873	Vsoy2_peg_89	Vgig1_peg_855	Vgig2_peg_742	COSY_0834	Vmar_0843	BSEPE_0215	BGC33_06640	AZO1586R_1995	Gsub_1040	CRN91_02930	W908_07315	EYG05_06705	Tper_0345	H8D41_05560
SP60_02945	MS2017_0287	Rmag_0928	HUE58_RS04645	Rpac_peg_693	Rpha_peg_1406	Rpli_peg_905	Rrec_peg_490	Rsou_peg_1270	Vdia_peg_121	Vext_peg_116	Vsoy1_peg_874	Vsoy2_peg_90	Vgig1_peg_856	Vgig2_peg_743	COSY_0835	Vmar_0844	BSEPE_0214	BGC33_06645	AZO1586R_1996	Gsub_1041	CRN91_02925	W908_07320	EYG05_06700	Tper_0346	H8D41_05555
SP60_02965	MS2017_0282	Rmag_0932	HUE58_RS04665	Rpac_peg_697	Rpha_peg_1402	Rpli_peg_909	Rrec_peg_494	Rsou_peg_1274	Vdia_peg_118	Vext_peg_113	Vsoy1_peg_877	Vsoy2_peg_93	Vgig1_peg_859	Vgig2_peg_746	COSY_0838	Vmar_0847	BSEPE_0210	BGC33_06595	AZO1586R_2379	Gsub_1046	CRN91_02905	W908_07340	EYG05_06680	Tper_0350	H8D41_05535
SP60_02975	MS2017_0280	Rmag_0934	HUE58_RS04675	Rpac_peg_699	Rpha_peg_1400	Rpli_peg_911	Rrec_peg_496	Rsou_peg_1277	Vdia_peg_116	Vext_peg_111	Vsoy1_peg_879	Vsoy2_peg_95	Vgig1_peg_861	Vgig2_peg_748	COSY_0840	Vmar_0849	BSEPE_0208	BGC33_06585	AZO1586R_2381	Gsub_1048	CRN91_02900	W908_07345	EYG05_06670	Tper_0352	H8D41_05525
SP60_02990	MS2017_0277	Rmag_0935	HUE58_RS04690	Rpac_peg_701	Rpha_peg_1395	Rpli_peg_916	Rrec_peg_498	Rsou_peg_1280	Vdia_peg_114	Vext_peg_109	Vsoy1_peg_881	Vsoy2_peg_97	Vgig1_peg_863	Vgig2_peg_750	COSY_0842	Vmar_0851	BSEPE_0205	BGC33_11485	AZO1586R_2384	Gsub_0410	CRN91_02885	W908_07360	EYG05_06655	Tper_0355	H8D41_05510
SP60_02995	MS2017_0276	Rmag_0936	HUE58_RS04695	Rpac_peg_702	Rpha_peg_1394	Rpli_peg_917	Rrec_peg_499	Rsou_peg_1281	Vdia_peg_113	Vext_peg_108	Vsoy1_peg_882	Vsoy2_peg_98	Vgig1_peg_864	Vgig2_peg_751	COSY_0843	Vmar_0852	BSEPE_0204	BGC33_11490	AZO1586R_2385	Gsub_0411	CRN91_02880	W908_07365	EYG05_06650	Tper_0356	H8D41_05505
SP60_03020	MS2017_0261	Rmag_0944	HUE58_RS04725	Rpac_peg_713	Rpha_peg_1380	Rpli_peg_933	Rrec_peg_507	Rsou_peg_1473	Vdia_peg_110	Vext_peg_106	Vsoy1_peg_884	Vsoy2_peg_100	Vgig1_peg_888	Vgig2_peg_775	COSY_0845	Vmar_0854	BSEPE_0189	BGC33_11560	AZO1586R_2159	Gsub_1348	CRN91_02855	W908_07395	EYG05_06615	Tper_0364	H8D41_06740
SP60_03025	MS2017_0257	Rmag_0946	HUE58_RS04745	Rpac_peg_715	Rpha_peg_1368	Rpli_peg_940	Rrec_peg_510	Rsou_peg_1478	Vdia_peg_109	Vext_peg_105	Vsoy1_peg_886	Vsoy2_peg_102	Vgig1_peg_887	Vgig2_peg_774	COSY_0846	Vmar_0856	BSEPE_0188	BGC33_11580	AZO1586R_2155	Gsub_1347	CRN91_02850	W908_07400	EYG05_06610	Tper_0365	H8D41_06755
SP60_03030	MS2017_0256	Rmag_0947	HUE58_RS04750	Rpac_peg_716	Rpha_peg_1367	Rpli_peg_941	Rrec_peg_511	Rsou_peg_1479	Vdia_peg_108	Vext_peg_104	Vsoy1_peg_887	Vsoy2_peg_103	Vgig1_peg_886	Vgig2_peg_773	COSY_0847	Vmar_0857	BSEPE_0187	BGC33_06940	AZO1586R_2154	Gsub_1346	CRN91_02845	W908_07405	EYG05_06605	Tper_0366	H8D41_06760
SP60_03050	MS2017_0250	Rmag_0951	HUE58_RS04770	Rpac_peg_723	Rpha_peg_1360	Rpli_peg_949	Rrec_peg_514	Rsou_peg_1487	Vdia_peg_104	Vext_peg_100	Vsoy1_peg_891	Vsoy2_peg_107	Vgig1_peg_882	Vgig2_peg_769	COSY_0851	Vmar_0861	BSEPE_0182	BGC33_06910	AZO1586R_2149	Gsub_1342	CRN91_02825	W908_07425	EYG05_01055	Tper_0371	H8D41_06785
SP60_03060	MS2017_0244	Rmag_0953	HUE58_RS04780	Rpac_peg_725	Rpha_peg_1357	Rpli_peg_953	Rrec_peg_517	Rsou_peg_1490	Vdia_peg_102	Vext_peg_98	Vsoy1_peg_893	Vsoy2_peg_109	Vgig1_peg_880	Vgig2_peg_767	COSY_0853	Vmar_0863	BSEPE_0177	BGC33_13080	AZO1586R_526	Gsub_0686	CRN91_02810	W908_07440	EYG05_01065	Tper_0373	H8D41_06795
SP60_03065	MS2017_0242	Rmag_0954	HUE58_RS04785	Rpac_peg_726	Rpha_peg_1356	Rpli_peg_954	Rrec_peg_518	Rsou_peg_1491	Vdia_peg_101	Vext_peg_97	Vsoy1_peg_894	Vsoy2_peg_110	Vgig1_peg_879	Vgig2_peg_766	COSY_0854	Vmar_0864	BSEPE_0176	BGC33_13090	AZO1586R_529	Gsub_0685	CRN91_02805	W908_07445	EYG05_01070	Tper_0374	H8D41_06800
SP60_03070	MS2017_0241	Rmag_0955	HUE58_RS04790	Rpac_peg_727	Rpha_peg_1355	Rpli_peg_955	Rrec_peg_519	Rsou_peg_1492	Vdia_peg_100	Vext_peg_96	Vsoy1_peg_895	Vsoy2_peg_111	Vgig1_peg_878	Vgig2_peg_765	COSY_0855	Vmar_0865	BSEPE_0175	BGC33_13095	AZO1586R_530	Gsub_0684	CRN91_02800	W908_07450	EYG05_01075	Tper_0375	H8D41_06805
SP60_03080	MS2017_0239	Rmag_0957	HUE58_RS04800	Rpac_peg_729	Rpha_peg_1353	Rpli_peg_957	Rrec_peg_521	Rsou_peg_1494	Vdia_peg_98	Vext_peg_94	Vsoy1_peg_897	Vsoy2_peg_113	Vgig1_peg_876	Vgig2_peg_763	COSY_0857	Vmar_0867	BSEPE_0173	BGC33_13105	AZO1586R_532	Gsub_0682	CRN91_02790	W908_07460	EYG05_01085	Tper_0377	H8D41_06815
SP60_03100	MS2017_0235	Rmag_0962	HUE58_RS04825	Rpac_peg_735	Rpha_peg_1347	Rpli_peg_965	Rrec_peg_528	Rsou_peg_1500	Vdia_peg_92	Vext_peg_88	Vsoy1_peg_903	Vsoy2_peg_119	Vgig1_peg_870	Vgig2_peg_757	COSY_0863	Vmar_0873	BSEPE_0169	BGC33_13125	AZO1586R_536	Gsub_0678	CRN91_02695	W908_07495	EYG05_01105	Tper_0381	H8D41_06835
SP60_03105	MS2017_0234	Rmag_0963	HUE58_RS04830	Rpac_peg_736	Rpha_peg_1346	Rpli_peg_966	Rrec_peg_529	Rsou_peg_1501	Vdia_peg_91	Vext_peg_87	Vsoy1_peg_904	Vsoy2_peg_120	Vgig1_peg_869	Vgig2_peg_756	COSY_0864	Vmar_0874	BSEPE_0168	BGC33_13130	AZO1586R_537	Gsub_0677	CRN91_02690	W908_07500	EYG05_01110	Tper_0382	H8D41_06840
SP60_03120	MS2017_0224	Rmag_0966	HUE58_RS04845	Rpac_peg_739	Rpha_peg_1343	Rpli_peg_969	Rrec_peg_532	Rsou_peg_1504	Vdia_peg_88	Vext_peg_84	Vsoy1_peg_907	Vsoy2_peg_123	Vgig1_peg_866	Vgig2_peg_753	COSY_0867	Vmar_0877	BSEPE_0155	BGC33_13165	AZO1586R_1636	Gsub_0754	CRN91_02675	W908_07515	EYG05_03335	Tper_0385	H8D41_06855
SP60_03125	MS2017_0223	Rmag_0967	HUE58_RS04850	Rpac_peg_740	Rpha_peg_1342	Rpli_peg_970	Rrec_peg_533	Rsou_peg_1505	Vdia_peg_87	Vext_peg_83	Vsoy1_peg_908	Vsoy2_peg_124	Vgig1_peg_865	Vgig2_peg_752	COSY_0868	Vmar_0878	BSEPE_0154	BGC33_13170	AZO1586R_1637	Gsub_0753	CRN91_02670	W908_07520	EYG05_03340	Tper_0386	H8D41_06860
SP60_03140	MS2017_0220	Rmag_0969	HUE58_RS04855	Rpac_peg_745	Rpha_peg_1337	Rpli_peg_975	Rrec_peg_534	Rsou_peg_1508	Vdia_peg_86	Vext_peg_82	Vsoy1_peg_909	Vsoy2_peg_125	Vgig1_peg_890	Vgig2_peg_777	COSY_0869	Vmar_0879	BSEPE_0151	BGC33_13185	AZO1586R_1759	Gsub_0751	CRN91_02655	W908_07535	EYG05_03355	Tper_0389	H8D41_06875
SP60_03190	MS2017_0207	Rmag_0973	HUE58_RS04910	Rpac_peg_753	Rpha_peg_1326	Rpli_peg_982	Rrec_peg_544	Rsou_peg_601	Vdia_peg_82	Vext_peg_78	Vsoy1_peg_913	Vsoy2_peg_129	Vgig1_peg_894	Vgig2_peg_781	COSY_0873	Vmar_0883	BSEPE_1447	BGC33_09440	AZO1586R_2208	Gsub_0746	CRN91_02595	W908_07580	EYG05_03395	Tper_0397	H8D41_04635
SP60_03210	MS2017_0204	Rmag_0977	HUE58_RS04930	Rpac_peg_757	Rpha_peg_1322	Rpli_peg_986	Rrec_peg_548	Rsou_peg_597	Vdia_peg_78	Vext_peg_74	Vsoy1_peg_917	Vsoy2_peg_133	Vgig1_peg_898	Vgig2_peg_785	COSY_0877	Vmar_0887	BSEPE_1444	BGC33_09455	AZO1586R_2205	Gsub_0734	CRN91_02580	W908_07595	EYG05_07745	Tper_0401	H8D41_04655
SP60_03220	MS2017_0193	Rmag_0980	HUE58_RS04995	Rpac_peg_761	Rpha_peg_1306	Rpli_peg_997	Rrec_peg_565	Rsou_peg_1751	Vdia_peg_77	Vext_peg_73	Vsoy1_peg_918	Vsoy2_peg_134	Vgig1_peg_899	Vgig2_peg_786	COSY_0878	Vmar_0888	BSEPE_1442	BGC33_11675	AZO1586R_1953	Gsub_0701	CRN91_02575	W908_07600	EYG05_07735	Tper_0403	H8D41_04665
SP60_03225	MS2017_0192	Rmag_0981	HUE58_RS05000	Rpac_peg_762	Rpha_peg_1305	Rpli_peg_998	Rrec_peg_566	Rsou_peg_1750	Vdia_peg_76	Vext_peg_72	Vsoy1_peg_919	Vsoy2_peg_135	Vgig1_peg_900	Vgig2_peg_787	COSY_0879	Vmar_0889	BSEPE_1441	BGC33_11680	AZO1586R_1952	Gsub_0700	CRN91_02570	W908_07605	EYG05_07730	Tper_0404	H8D41_04670
SP60_03240	MS2017_0189	Rmag_0984	HUE58_RS05015	Rpac_peg_766	Rpha_peg_1639	Rpli_peg_1002	Rrec_peg_569	Rsou_peg_1746	Vdia_peg_74	Vext_peg_70	Vsoy1_peg_922	Vsoy2_peg_138	Vgig1_peg_902	Vgig2_peg_789	COSY_0881	Vmar_0891	BSEPE_1437	BGC33_11695	AZO1586R_2087	Gsub_0825	CRN91_02555	W908_07620	EYG05_07715	Tper_0406	H8D41_04685
SP60_03270	MS2017_0182	Rmag_0992	HUE58_RS05055	Rpac_peg_774	Rpha_peg_1631	Rpli_peg_1010	Rrec_peg_577	Rsou_peg_1738	Vdia_peg_68	Vext_peg_64	Vsoy1_peg_928	Vsoy2_peg_144	Vgig1_peg_908	Vgig2_peg_795	COSY_0887	Vmar_0897	BSEPE_1426	BGC33_11730	AZO1586R_2095	Gsub_0820	CRN91_02530	W908_07645	EYG05_07685	Tper_0412	H8D41_01285
SP60_03275	MS2017_0179	Rmag_0993	HUE58_RS05060	Rpac_peg_775	Rpha_peg_1630	Rpli_peg_1011	Rrec_peg_578	Rsou_peg_1737	Vdia_peg_67	Vext_peg_63	Vsoy1_peg_929	Vsoy2_peg_145	Vgig1_peg_909	Vgig2_peg_796	COSY_0888	Vmar_0898	BSEPE_1425	BGC33_11740	AZO1586R_1569	Gsub_0629	CRN91_02525	W908_07650	EYG05_07680	Tper_0413	H8D41_01280
