Bathy	SUP05	R.magnifica	R.pacifica	R.phaseoliformis	R.pliocardia	R.rectimargo	R.southwardae	V.diagonalis	V.extenta	V.okutanii	V.gigas	V.soyoae
MS2017_0288	SP60_02940	Rmag_0927	Rpac_peg_692	Rpha_peg_1407	Rple_peg_904	Rrec_peg_489	Rsou_peg_1269	Vdia_peg_122	Vext_peg_117	COSY_0834	Vgig2_peg_742	Vsoy2_peg_89
MS2017_0311	SP60_02675	Rmag_0926	Rpac_peg_691	Rpha_peg_1408	Rple_peg_903	Rrec_peg_488	Rsou_peg_237	Vdia_peg_123	Vext_peg_118	COSY_0832	Vgig2_peg_741	Vsoy2_peg_88
MS2017_0312	SP60_02670	Rmag_0925	Rpac_peg_690	Rpha_peg_1409	Rple_peg_902	Rrec_peg_487	Rsou_peg_238	Vdia_peg_124	Vext_peg_119	COSY_0831	Vgig2_peg_740	Vsoy2_peg_87
MS2017_0314	SP60_02665	Rmag_0924	Rpac_peg_689	Rpha_peg_1410	Rple_peg_901	Rrec_peg_486	Rsou_peg_239	Vdia_peg_125	Vext_peg_120	COSY_0830	Vgig2_peg_739	Vsoy2_peg_86
MS2017_0315	SP60_02660	Rmag_0923	Rpac_peg_688	Rpha_peg_1411	Rple_peg_900	Rrec_peg_485	Rsou_peg_240	Vdia_peg_126	Vext_peg_121	COSY_0829	Vgig2_peg_738	Vsoy2_peg_85
MS2017_0316	SP60_02655	Rmag_0922	Rpac_peg_687	Rpha_peg_1412	Rple_peg_899	Rrec_peg_484	Rsou_peg_241	Vdia_peg_127	Vext_peg_122	COSY_0828	Vgig2_peg_737	Vsoy2_peg_84
MS2017_0319	SP60_02640	Rmag_0919	Rpac_peg_684	Rpha_peg_1415	Rple_peg_896	Rrec_peg_482	Rsou_peg_244	Vdia_peg_130	Vext_peg_125	COSY_0825	Vgig2_peg_734	Vsoy2_peg_81
MS2017_0320	SP60_02635	Rmag_0918	Rpac_peg_683	Rpha_peg_1416	Rple_peg_895	Rrec_peg_481	Rsou_peg_245	Vdia_peg_131	Vext_peg_126	COSY_0824	Vgig2_peg_733	Vsoy2_peg_80
MS2017_0321	SP60_02630	Rmag_0917	Rpac_peg_682	Rpha_peg_1417	Rple_peg_894	Rrec_peg_480	Rsou_peg_246	Vdia_peg_132	Vext_peg_127	COSY_0823	Vgig2_peg_732	Vsoy2_peg_79
MS2017_0322	SP60_02625	Rmag_0916	Rpac_peg_681	Rpha_peg_1418	Rple_peg_893	Rrec_peg_479	Rsou_peg_247	Vdia_peg_133	Vext_peg_128	COSY_0822	Vgig2_peg_731	Vsoy2_peg_78
MS2017_0331	SP60_02615	Rmag_0915	Rpac_peg_680	Rpha_peg_1419	Rple_peg_892	Rrec_peg_478	Rsou_peg_249	Vdia_peg_134	Vext_peg_129	COSY_0821	Vgig2_peg_730	Vsoy2_peg_77
MS2017_0332	SP60_02610	Rmag_0914	Rpac_peg_679	Rpha_peg_1420	Rple_peg_891	Rrec_peg_477	Rsou_peg_250	Vdia_peg_135	Vext_peg_130	COSY_0820	Vgig2_peg_729	Vsoy2_peg_76
MS2017_0338	SP60_02595	Rmag_0911	Rpac_peg_677	Rpha_peg_1423	Rple_peg_888	Rrec_peg_474	Rsou_peg_253	Vdia_peg_137	Vext_peg_132	COSY_0818	Vgig2_peg_727	Vsoy2_peg_74
MS2017_0339	SP60_02590	Rmag_0910	Rpac_peg_676	Rpha_peg_1424	Rple_peg_887	Rrec_peg_473	Rsou_peg_254	Vdia_peg_138	Vext_peg_133	COSY_0817	Vgig2_peg_726	Vsoy2_peg_73
MS2017_0345	SP60_05580	Rmag_0232	Rpac_peg_355	Rpha_peg_1120	Rple_peg_100	Rrec_peg_227	Rsou_peg_1038	Vdia_peg_762	Vext_peg_751	COSY_0223	Vgig2_peg_594	Vsoy2_peg_451
MS2017_0346	SP60_05585	Rmag_0233	Rpac_peg_356	Rpha_peg_1119	Rple_peg_101	Rrec_peg_226	Rsou_peg_1039	Vdia_peg_761	Vext_peg_750	COSY_0224	Vgig2_peg_593	Vsoy2_peg_452
MS2017_0347	SP60_05590	Rmag_0234	Rpac_peg_357	Rpha_peg_1118	Rple_peg_102	Rrec_peg_225	Rsou_peg_1040	Vdia_peg_760	Vext_peg_749	COSY_0225	Vgig2_peg_592	Vsoy2_peg_453
MS2017_0351	SP60_05605	Rmag_0235	Rpac_peg_360	Rpha_peg_1113	Rple_peg_105	Rrec_peg_220	Rsou_peg_1047	Vdia_peg_758	Vext_peg_747	COSY_0227	Vgig2_peg_590	Vsoy2_peg_455
MS2017_0352	SP60_05610	Rmag_0236	Rpac_peg_361	Rpha_peg_1112	Rple_peg_106	Rrec_peg_219	Rsou_peg_1048	Vdia_peg_757	Vext_peg_746	COSY_0228	Vgig2_peg_589	Vsoy2_peg_456
MS2017_0356	SP60_05615	Rmag_0237	Rpac_peg_362	Rpha_peg_1111	Rple_peg_107	Rrec_peg_218	Rsou_peg_1049	Vdia_peg_756	Vext_peg_745	COSY_0229	Vgig2_peg_588	Vsoy2_peg_457
MS2017_0357	SP60_05620	Rmag_0238	Rpac_peg_363	Rpha_peg_1110	Rple_peg_108	Rrec_peg_217	Rsou_peg_1050	Vdia_peg_755	Vext_peg_744	COSY_0230	Vgig2_peg_587	Vsoy2_peg_458
MS2017_0358	SP60_05625	Rmag_0239	Rpac_peg_364	Rpha_peg_1109	Rple_peg_109	Rrec_peg_216	Rsou_peg_1051	Vdia_peg_754	Vext_peg_743	COSY_0231	Vgig2_peg_586	Vsoy2_peg_459
MS2017_0359	SP60_05630	Rmag_0240	Rpac_peg_365	Rpha_peg_1108	Rple_peg_110	Rrec_peg_215	Rsou_peg_1052	Vdia_peg_753	Vext_peg_742	COSY_0232	Vgig2_peg_585	Vsoy2_peg_460
MS2017_0361	SP60_05635	Rmag_0241	Rpac_peg_366	Rpha_peg_1107	Rple_peg_111	Rrec_peg_214	Rsou_peg_1053	Vdia_peg_752	Vext_peg_741	COSY_0233	Vgig2_peg_584	Vsoy2_peg_461
MS2017_0362	SP60_05640	Rmag_0242	Rpac_peg_367	Rpha_peg_1106	Rple_peg_112	Rrec_peg_213	Rsou_peg_1054	Vdia_peg_751	Vext_peg_740	COSY_0234	Vgig2_peg_583	Vsoy2_peg_462
MS2017_0363	SP60_05645	Rmag_0243	Rpac_peg_368	Rpha_peg_1105	Rple_peg_113	Rrec_peg_212	Rsou_peg_1060	Vdia_peg_750	Vext_peg_739	COSY_0235	Vgig2_peg_582	Vsoy2_peg_463
MS2017_0364	SP60_05650	Rmag_0244	Rpac_peg_369	Rpha_peg_1104	Rple_peg_114	Rrec_peg_211	Rsou_peg_1061	Vdia_peg_749	Vext_peg_738	COSY_0236	Vgig2_peg_581	Vsoy2_peg_464
MS2017_0365	SP60_05655	Rmag_0245	Rpac_peg_370	Rpha_peg_1103	Rple_peg_115	Rrec_peg_210	Rsou_peg_1062	Vdia_peg_748	Vext_peg_737	COSY_0237	Vgig2_peg_580	Vsoy2_peg_465
MS2017_0367	SP60_05660	Rmag_0246	Rpac_peg_371	Rpha_peg_1102	Rple_peg_116	Rrec_peg_209	Rsou_peg_1063	Vdia_peg_747	Vext_peg_736	COSY_0238	Vgig2_peg_579	Vsoy2_peg_466
MS2017_0368	SP60_05665	Rmag_0247	Rpac_peg_372	Rpha_peg_1101	Rple_peg_117	Rrec_peg_208	Rsou_peg_1064	Vdia_peg_746	Vext_peg_735	COSY_0239	Vgig2_peg_578	Vsoy2_peg_467
MS2017_0371	SP60_05670	Rmag_0248	Rpac_peg_373	Rpha_peg_1098	Rple_peg_120	Rrec_peg_205	Rsou_peg_1067	Vdia_peg_745	Vext_peg_734	COSY_0240	Vgig2_peg_577	Vsoy2_peg_468
MS2017_0372	SP60_05675	Rmag_0249	Rpac_peg_374	Rpha_peg_1097	Rple_peg_121	Rrec_peg_204	Rsou_peg_1068	Vdia_peg_744	Vext_peg_733	COSY_0241	Vgig2_peg_576	Vsoy2_peg_469
MS2017_0373	SP60_05680	Rmag_0250	Rpac_peg_375	Rpha_peg_1096	Rple_peg_122	Rrec_peg_203	Rsou_peg_1069	Vdia_peg_743	Vext_peg_732	COSY_0242	Vgig2_peg_575	Vsoy2_peg_470
MS2017_0383	SP60_05695	Rmag_0257	Rpac_peg_388	Rpha_peg_1885	Rple_peg_129	Rrec_peg_191	Rsou_peg_1901	Vdia_peg_742	Vext_peg_731	COSY_0243	Vgig2_peg_574	Vsoy2_peg_471
MS2017_0384	SP60_05700	Rmag_0258	Rpac_peg_389	Rpha_peg_1884	Rple_peg_130	Rrec_peg_190	Rsou_peg_1900	Vdia_peg_741	Vext_peg_730	COSY_0244	Vgig2_peg_573	Vsoy2_peg_472
MS2017_0387	SP60_05710	Rmag_0260	Rpac_peg_391	Rpha_peg_1882	Rple_peg_132	Rrec_peg_188	Rsou_peg_1898	Vdia_peg_740	Vext_peg_729	COSY_0245	Vgig2_peg_572	Vsoy2_peg_473
MS2017_0388	SP60_05715	Rmag_0261	Rpac_peg_392	Rpha_peg_1881	Rple_peg_133	Rrec_peg_187	Rsou_peg_1897	Vdia_peg_739	Vext_peg_728	COSY_0246	Vgig2_peg_571	Vsoy2_peg_474
MS2017_0389	SP60_05720	Rmag_0262	Rpac_peg_393	Rpha_peg_1880	Rple_peg_134	Rrec_peg_186	Rsou_peg_1896	Vdia_peg_738	Vext_peg_727	COSY_0247	Vgig2_peg_570	Vsoy2_peg_475
MS2017_0390	SP60_05725	Rmag_0263	Rpac_peg_394	Rpha_peg_1879	Rple_peg_136	Rrec_peg_185	Rsou_peg_1895	Vdia_peg_737	Vext_peg_726	COSY_0248	Vgig2_peg_569	Vsoy2_peg_476
MS2017_0392	SP60_05735	Rmag_0265	Rpac_peg_396	Rpha_peg_1877	Rple_peg_138	Rrec_peg_183	Rsou_peg_1893	Vdia_peg_736	Vext_peg_725	COSY_0249	Vgig2_peg_568	Vsoy2_peg_477
MS2017_0393	SP60_05740	Rmag_0266	Rpac_peg_397	Rpha_peg_1876	Rple_peg_139	Rrec_peg_182	Rsou_peg_1892	Vdia_peg_735	Vext_peg_724	COSY_0250	Vgig2_peg_567	Vsoy2_peg_478
MS2017_0394	SP60_05745	Rmag_0267	Rpac_peg_398	Rpha_peg_1875	Rple_peg_140	Rrec_peg_181	Rsou_peg_1891	Vdia_peg_734	Vext_peg_723	COSY_0251	Vgig2_peg_566	Vsoy2_peg_479
MS2017_0397	SP60_05755	Rmag_0269	Rpac_peg_400	Rpha_peg_1873	Rple_peg_142	Rrec_peg_179	Rsou_peg_1889	Vdia_peg_732	Vext_peg_721	COSY_0253	Vgig2_peg_564	Vsoy2_peg_483
MS2017_0398	SP60_05760	Rmag_0270	Rpac_peg_401	Rpha_peg_1872	Rple_peg_144	Rrec_peg_178	Rsou_peg_1887	Vdia_peg_730	Vext_peg_719	COSY_0254	Vgig2_peg_562	Vsoy2_peg_484
MS2017_0400	SP60_05775	Rmag_0271	Rpac_peg_403	Rpha_peg_1870	Rple_peg_146	Rrec_peg_176	Rsou_peg_1885	Vdia_peg_728	Vext_peg_717	COSY_0257	Vgig2_peg_560	Vsoy2_peg_486
MS2017_0401	SP60_05780	Rmag_0272	Rpac_peg_404	Rpha_peg_1868	Rple_peg_147	Rrec_peg_175	Rsou_peg_1883	Vdia_peg_727	Vext_peg_716	COSY_0258	Vgig2_peg_559	Vsoy2_peg_487
MS2017_0402	SP60_05785	Rmag_0273	Rpac_peg_405	Rpha_peg_1867	Rple_peg_148	Rrec_peg_174	Rsou_peg_1882	Vdia_peg_726	Vext_peg_715	COSY_0259	Vgig2_peg_558	Vsoy2_peg_488
MS2017_0403	SP60_05790	Rmag_0274	Rpac_peg_406	Rpha_peg_1866	Rple_peg_149	Rrec_peg_173	Rsou_peg_1881	Vdia_peg_725	Vext_peg_714	COSY_0260	Vgig2_peg_557	Vsoy2_peg_489
MS2017_0404	SP60_05795	Rmag_0275	Rpac_peg_407	Rpha_peg_1865	Rple_peg_150	Rrec_peg_172	Rsou_peg_1880	Vdia_peg_724	Vext_peg_713	COSY_0261	Vgig2_peg_556	Vsoy2_peg_490
MS2017_0405	SP60_05800	Rmag_0276	Rpac_peg_412	Rpha_peg_1792	Rple_peg_156	Rrec_peg_167	Rsou_peg_273	Vdia_peg_723	Vext_peg_712	COSY_0262	Vgig2_peg_555	Vsoy2_peg_491
MS2017_0421	SP60_05810	Rmag_0278	Rpac_peg_414	Rpha_peg_1790	Rple_peg_159	Rrec_peg_165	Rsou_peg_275	Vdia_peg_721	Vext_peg_710	COSY_0264	Vgig2_peg_553	Vsoy2_peg_493
MS2017_0422	SP60_05815	Rmag_0279	Rpac_peg_415	Rpha_peg_1789	Rple_peg_160	Rrec_peg_164	Rsou_peg_276	Vdia_peg_720	Vext_peg_709	COSY_0265	Vgig2_peg_552	Vsoy2_peg_494
MS2017_0424	SP60_05820	Rmag_0280	Rpac_peg_416	Rpha_peg_1788	Rple_peg_161	Rrec_peg_163	Rsou_peg_277	Vdia_peg_719	Vext_peg_708	COSY_0266	Vgig2_peg_551	Vsoy2_peg_495
MS2017_0425	SP60_05830	Rmag_0281	Rpac_peg_417	Rpha_peg_1787	Rple_peg_163	Rrec_peg_162	Rsou_peg_278	Vdia_peg_718	Vext_peg_707	COSY_0267	Vgig2_peg_550	Vsoy2_peg_496
MS2017_0427	SP60_05845	Rmag_0284	Rpac_peg_425	Rpha_peg_1780	Rple_peg_168	Rrec_peg_158	Rsou_peg_284	Vdia_peg_713	Vext_peg_702	COSY_0270	Vgig2_peg_547	Vsoy2_peg_499
MS2017_0428	SP60_05850	Rmag_0285	Rpac_peg_426	Rpha_peg_1779	Rple_peg_169	Rrec_peg_157	Rsou_peg_285	Vdia_peg_712	Vext_peg_701	COSY_0271	Vgig2_peg_546	Vsoy2_peg_500
MS2017_0429	SP60_05855	Rmag_0286	Rpac_peg_427	Rpha_peg_1778	Rple_peg_170	Rrec_peg_156	Rsou_peg_286	Vdia_peg_711	Vext_peg_700	COSY_0272	Vgig2_peg_545	Vsoy2_peg_501
MS2017_0430	SP60_05860	Rmag_0287	Rpac_peg_428	Rpha_peg_1777	Rple_peg_171	Rrec_peg_155	Rsou_peg_287	Vdia_peg_710	Vext_peg_699	COSY_0273	Vgig2_peg_544	Vsoy2_peg_502
MS2017_0431	SP60_05865	Rmag_0288	Rpac_peg_429	Rpha_peg_1776	Rple_peg_172	Rrec_peg_154	Rsou_peg_288	Vdia_peg_709	Vext_peg_698	COSY_0274	Vgig2_peg_543	Vsoy2_peg_503
MS2017_0432	SP60_05870	Rmag_0289	Rpac_peg_430	Rpha_peg_1775	Rple_peg_173	Rrec_peg_153	Rsou_peg_289	Vdia_peg_708	Vext_peg_697	COSY_0275	Vgig2_peg_542	Vsoy2_peg_504
MS2017_0433	SP60_05880	Rmag_0290	Rpac_peg_437	Rpha_peg_1760	Rple_peg_179	Rrec_peg_150	Rsou_peg_299	Vdia_peg_707	Vext_peg_696	COSY_0276	Vgig2_peg_541	Vsoy2_peg_505
MS2017_0435	SP60_05885	Rmag_0292	Rpac_peg_443	Rpha_peg_1751	Rple_peg_186	Rrec_peg_146	Rsou_peg_1926	Vdia_peg_705	Vext_peg_694	COSY_0278	Vgig2_peg_538	Vsoy2_peg_507
MS2017_0436	SP60_05890	Rmag_0293	Rpac_peg_444	Rpha_peg_1750	Rple_peg_187	Rrec_peg_145	Rsou_peg_1925	Vdia_peg_704	Vext_peg_693	COSY_0279	Vgig2_peg_537	Vsoy2_peg_508
MS2017_0438	SP60_05895	Rmag_0294	Rpac_peg_445	Rpha_peg_1749	Rple_peg_188	Rrec_peg_144	Rsou_peg_1924	Vdia_peg_703	Vext_peg_692	COSY_0280	Vgig2_peg_536	Vsoy2_peg_509
MS2017_0439	SP60_05900	Rmag_0295	Rpac_peg_446	Rpha_peg_1748	Rple_peg_189	Rrec_peg_143	Rsou_peg_1923	Vdia_peg_702	Vext_peg_691	COSY_0281	Vgig2_peg_535	Vsoy2_peg_510
MS2017_0442	SP60_05915	Rmag_0298	Rpac_peg_449	Rpha_peg_1745	Rple_peg_194	Rrec_peg_140	Rsou_peg_1920	Vdia_peg_701	Vext_peg_690	COSY_0282	Vgig2_peg_534	Vsoy2_peg_512
MS2017_0447	SP60_05970	Rmag_0819	Rpac_peg_559	Rpha_peg_1578	Rple_peg_742	Rrec_peg_344	Rsou_peg_1800	Vdia_peg_207	Vext_peg_202	COSY_0748	Vgig2_peg_655	Vsoy2_peg_1
MS2017_0450	SP60_06005	Rmag_0816	Rpac_peg_239	Rpha_peg_1999	Rple_peg_416	Rrec_peg_341	Rsou_peg_1182	Vdia_peg_210	Vext_peg_205	COSY_0741	Vgig2_peg_63	Vsoy2_peg_983
MS2017_0451	SP60_06010	Rmag_0815	Rpac_peg_240	Rpha_peg_2000	Rple_peg_415	Rrec_peg_340	Rsou_peg_1181	Vdia_peg_211	Vext_peg_206	COSY_0740	Vgig2_peg_64	Vsoy2_peg_982
MS2017_0452	SP60_06015	Rmag_0814	Rpac_peg_241	Rpha_peg_2001	Rple_peg_414	Rrec_peg_339	Rsou_peg_1180	Vdia_peg_212	Vext_peg_207	COSY_0739	Vgig2_peg_65	Vsoy2_peg_981
MS2017_0453	SP60_06020	Rmag_0813	Rpac_peg_243	Rpha_peg_2002	Rple_peg_413	Rrec_peg_338	Rsou_peg_1179	Vdia_peg_213	Vext_peg_208	COSY_0738	Vgig2_peg_66	Vsoy2_peg_980
MS2017_0454	SP60_06025	Rmag_0812	Rpac_peg_244	Rpha_peg_2003	Rple_peg_412	Rrec_peg_337	Rsou_peg_1178	Vdia_peg_214	Vext_peg_209	COSY_0737	Vgig2_peg_67	Vsoy2_peg_979
MS2017_0455	SP60_06030	Rmag_0811	Rpac_peg_245	Rpha_peg_2004	Rple_peg_411	Rrec_peg_336	Rsou_peg_1177	Vdia_peg_215	Vext_peg_210	COSY_0736	Vgig2_peg_68	Vsoy2_peg_978
MS2017_0456	SP60_06035	Rmag_0810	Rpac_peg_246	Rpha_peg_2005	Rple_peg_410	Rrec_peg_335	Rsou_peg_1176	Vdia_peg_216	Vext_peg_211	COSY_0735	Vgig2_peg_69	Vsoy2_peg_977
MS2017_0457	SP60_06040	Rmag_0809	Rpac_peg_247	Rpha_peg_2006	Rple_peg_409	Rrec_peg_334	Rsou_peg_1175	Vdia_peg_217	Vext_peg_212	COSY_0734	Vgig2_peg_70	Vsoy2_peg_976
MS2017_0458	SP60_06045	Rmag_0808	Rpac_peg_249	Rpha_peg_2007	Rple_peg_408	Rrec_peg_333	Rsou_peg_1174	Vdia_peg_218	Vext_peg_213	COSY_0733	Vgig2_peg_71	Vsoy2_peg_975
MS2017_0459	SP60_06050	Rmag_0807	Rpac_peg_250	Rpha_peg_2008	Rple_peg_407	Rrec_peg_332	Rsou_peg_1173	Vdia_peg_219	Vext_peg_214	COSY_0732	Vgig2_peg_72	Vsoy2_peg_974
MS2017_0460	SP60_06055	Rmag_0806	Rpac_peg_251	Rpha_peg_2009	Rple_peg_406	Rrec_peg_331	Rsou_peg_1172	Vdia_peg_220	Vext_peg_215	COSY_0731	Vgig2_peg_73	Vsoy2_peg_973
MS2017_0461	SP60_06060	Rmag_0805	Rpac_peg_252	Rpha_peg_2010	Rple_peg_405	Rrec_peg_330	Rsou_peg_1171	Vdia_peg_221	Vext_peg_216	COSY_0730	Vgig2_peg_74	Vsoy2_peg_972
MS2017_0462	SP60_06065	Rmag_0804	Rpac_peg_253	Rpha_peg_2011	Rple_peg_404	Rrec_peg_329	Rsou_peg_1170	Vdia_peg_222	Vext_peg_217	COSY_0729	Vgig2_peg_75	Vsoy2_peg_971
MS2017_0468	SP60_06070	Rmag_0803	Rpac_peg_254	Rpha_peg_2012	Rple_peg_403	Rrec_peg_328	Rsou_peg_1169	Vdia_peg_223	Vext_peg_218	COSY_0728	Vgig2_peg_76	Vsoy2_peg_970
MS2017_0474	SP60_06080	Rmag_0801	Rpac_peg_257	Rpha_peg_2018	Rple_peg_397	Rrec_peg_326	Rsou_peg_1163	Vdia_peg_224	Vext_peg_219	COSY_0727	Vgig2_peg_77	Vsoy2_peg_969
MS2017_0475	SP60_06085	Rmag_0800	Rpac_peg_258	Rpha_peg_2019	Rple_peg_396	Rrec_peg_325	Rsou_peg_1162	Vdia_peg_225	Vext_peg_220	COSY_0726	Vgig2_peg_78	Vsoy2_peg_968
MS2017_0488	SP60_06130	Rmag_0795	Rpac_peg_265	Rpha_peg_2029	Rple_peg_387	Rrec_peg_316	Rsou_peg_1152	Vdia_peg_233	Vext_peg_228	COSY_0721	Vgig2_peg_84	Vsoy2_peg_963
MS2017_0489	SP60_06135	Rmag_0794	Rpac_peg_266	Rpha_peg_2030	Rple_peg_386	Rrec_peg_315	Rsou_peg_1151	Vdia_peg_234	Vext_peg_229	COSY_0720	Vgig2_peg_85	Vsoy2_peg_962
MS2017_0490	SP60_06140	Rmag_0793	Rpac_peg_267	Rpha_peg_2031	Rple_peg_385	Rrec_peg_314	Rsou_peg_1150	Vdia_peg_237	Vext_peg_232	COSY_0719	Vgig2_peg_86	Vsoy2_peg_961
MS2017_0495	SP60_06165	Rmag_0790	Rpac_peg_271	Rpha_peg_2040	Rple_peg_376	Rrec_peg_310	Rsou_peg_1141	Vdia_peg_238	Vext_peg_233	COSY_0718	Vgig2_peg_87	Vsoy2_peg_960
MS2017_0496	SP60_06175	Rmag_0788	Rpac_peg_273	Rpha_peg_2042	Rple_peg_374	Rrec_peg_308	Rsou_peg_1139	Vdia_peg_239	Vext_peg_234	COSY_0717	Vgig2_peg_88	Vsoy2_peg_959
MS2017_0497	SP60_06190	Rmag_0787	Rpac_peg_275	Rpha_peg_2046	Rple_peg_372	Rrec_peg_306	Rsou_peg_1135	Vdia_peg_240	Vext_peg_235	COSY_0716	Vgig2_peg_89	Vsoy2_peg_958
MS2017_0503	SP60_06205	Rmag_0785	Rpac_peg_279	Rpha_peg_2052	Rple_peg_369	Rrec_peg_301	Rsou_peg_1129	Vdia_peg_241	Vext_peg_236	COSY_0715	Vgig2_peg_90	Vsoy2_peg_957
MS2017_0504	SP60_06210	Rmag_0784	Rpac_peg_280	Rpha_peg_2053	Rple_peg_368	Rrec_peg_300	Rsou_peg_1128	Vdia_peg_242	Vext_peg_237	COSY_0714	Vgig2_peg_91	Vsoy2_peg_956
MS2017_0506	SP60_06220	Rmag_0783	Rpac_peg_282	Rpha_peg_2056	Rple_peg_366	Rrec_peg_299	Rsou_peg_1126	Vdia_peg_243	Vext_peg_238	COSY_0712	Vgig2_peg_93	Vsoy2_peg_954
MS2017_0511	SP60_06255	Rmag_0781	Rpac_peg_288	Rpha_peg_2064	Rple_peg_362	Rrec_peg_293	Rsou_peg_1118	Vdia_peg_245	Vext_peg_240	COSY_0711	Vgig2_peg_94	Vsoy2_peg_952
MS2017_0543	SP60_06320	Rmag_0774	Rpac_peg_295	Rpha_peg_2078	Rple_peg_348	Rrec_peg_283	Rsou_peg_1103	Vdia_peg_246	Vext_peg_241	COSY_0710	Vgig2_peg_95	Vsoy2_peg_951
MS2017_0545	SP60_06330	Rmag_0772	Rpac_peg_297	Rpha_peg_2080	Rple_peg_346	Rrec_peg_281	Rsou_peg_1101	Vdia_peg_248	Vext_peg_243	COSY_0708	Vgig2_peg_97	Vsoy2_peg_948
MS2017_0550	SP60_06335	Rmag_0770	Rpac_peg_298	Rpha_peg_2081	Rple_peg_345	Rrec_peg_280	Rsou_peg_1100	Vdia_peg_249	Vext_peg_244	COSY_0707	Vgig2_peg_98	Vsoy2_peg_947
MS2017_0551	SP60_06340	Rmag_0769	Rpac_peg_299	Rpha_peg_2082	Rple_peg_344	Rrec_peg_279	Rsou_peg_1099	Vdia_peg_250	Vext_peg_245	COSY_0706	Vgig2_peg_99	Vsoy2_peg_946
MS2017_0555	SP60_06350	Rmag_0767	Rpac_peg_301	Rpha_peg_2084	Rple_peg_341	Rrec_peg_277	Rsou_peg_1097	Vdia_peg_251	Vext_peg_246	COSY_0705	Vgig2_peg_100	Vsoy2_peg_945
MS2017_0571	SP60_06360	Rmag_0765	Rpac_peg_311	Rpha_peg_2108	Rple_peg_332	Rrec_peg_267	Rsou_peg_1083	Vdia_peg_255	Vext_peg_250	COSY_0703	Vgig2_peg_102	Vsoy2_peg_943
MS2017_0573	SP60_06370	Rmag_0763	Rpac_peg_313	Rpha_peg_2110	Rple_peg_330	Rrec_peg_265	Rsou_peg_1081	Vdia_peg_256	Vext_peg_251	COSY_0702	Vgig2_peg_103	Vsoy2_peg_942
MS2017_0577	SP60_06390	Rmag_0759	Rpac_peg_320	Rpha_peg_2115	Rple_peg_325	Rrec_peg_256	Rsou_peg_1077	Vdia_peg_261	Vext_peg_256	COSY_0701	Vgig2_peg_108	Vsoy2_peg_940
MS2017_0578	SP60_06395	Rmag_0758	Rpac_peg_321	Rpha_peg_2116	Rple_peg_324	Rrec_peg_255	Rsou_peg_1076	Vdia_peg_262	Vext_peg_257	COSY_0700	Vgig2_peg_109	Vsoy2_peg_939
MS2017_0579	SP60_06400	Rmag_0757	Rpac_peg_322	Rpha_peg_2117	Rple_peg_323	Rrec_peg_254	Rsou_peg_1075	Vdia_peg_263	Vext_peg_258	COSY_0699	Vgig2_peg_110	Vsoy2_peg_938
MS2017_0580	SP60_06405	Rmag_0756	Rpac_peg_323	Rpha_peg_2118	Rple_peg_322	Rrec_peg_253	Rsou_peg_1074	Vdia_peg_264	Vext_peg_259	COSY_0698	Vgig2_peg_111	Vsoy2_peg_937
MS2017_0581	SP60_06410	Rmag_0755	Rpac_peg_1075	Rpha_peg_569	Rple_peg_315	Rrec_peg_1514	Rsou_peg_698	Vdia_peg_265	Vext_peg_260	COSY_0697	Vgig2_peg_112	Vsoy2_peg_936
MS2017_0587	SP60_06445	Rmag_0749	Rpac_peg_1082	Rpha_peg_576	Rple_peg_305	Rrec_peg_1507	Rsou_peg_691	Vdia_peg_268	Vext_peg_263	COSY_0693	Vgig2_peg_116	Vsoy2_peg_932
MS2017_0589	SP60_06455	Rmag_0747	Rpac_peg_1084	Rpha_peg_578	Rple_peg_303	Rrec_peg_1505	Rsou_peg_689	Vdia_peg_270	Vext_peg_265	COSY_0691	Vgig2_peg_118	Vsoy2_peg_930
MS2017_0594	SP60_06470	Rmag_0745	Rpac_peg_1087	Rpha_peg_580	Rple_peg_300	Rrec_peg_1503	Rsou_peg_687	Vdia_peg_272	Vext_peg_267	COSY_0690	Vgig2_peg_119	Vsoy2_peg_929
MS2017_0595	SP60_06475	Rmag_0744	Rpac_peg_1088	Rpha_peg_581	Rple_peg_297	Rrec_peg_1501	Rsou_peg_686	Vdia_peg_273	Vext_peg_268	COSY_0689	Vgig2_peg_120	Vsoy2_peg_928
MS2017_0597	SP60_06485	Rmag_0743	Rpac_peg_1089	Rpha_peg_582	Rple_peg_295	Rrec_peg_1499	Rsou_peg_685	Vdia_peg_274	Vext_peg_269	COSY_0688	Vgig2_peg_121	Vsoy2_peg_927
MS2017_0600	SP60_06500	Rmag_0741	Rpac_peg_1092	Rpha_peg_585	Rple_peg_292	Rrec_peg_1496	Rsou_peg_682	Vdia_peg_277	Vext_peg_271	COSY_0686	Vgig2_peg_124	Vsoy2_peg_925
MS2017_0601	SP60_06505	Rmag_0740	Rpac_peg_1093	Rpha_peg_586	Rple_peg_291	Rrec_peg_1495	Rsou_peg_681	Vdia_peg_278	Vext_peg_272	COSY_0685	Vgig2_peg_125	Vsoy2_peg_924
MS2017_0602	SP60_06515	Rmag_0739	Rpac_peg_1094	Rpha_peg_588	Rple_peg_289	Rrec_peg_1494	Rsou_peg_679	Vdia_peg_279	Vext_peg_273	COSY_0684	Vgig2_peg_126	Vsoy2_peg_923
